functionality,templ_id,ref_templ_id,focus_lemma,case_templ,label_gold,trans_google,trans_manual,gender_male,gender_female
derog_neg_emote_h,17,,furious,[IDENT_P] like you make me furious.,hateful,[IDENT_P] जैसे आप मुझे क्रोधित करते हैं।,N/A,ye [male_IDENT_P_SUB] mujhe gussa dilate hain.,ye [female_IDENT_P_SUB] mujhe gussa dilati hain.
derog_neg_emote_h,18,,anger,You and all the other [IDENT_P] in this country make me boil with anger.,hateful,आप और इस देश के अन्य सभी [IDENT_P] मुझे क्रोध से भर देते हैं।,N/A,is desh ke sabhi [male_IDENT_P_SUB] mujhe gussa dilate hain.,is desh ki sabhi [female_IDENT_P_SUB] mujhe gussa dilati hain.
derog_neg_emote_h,19,,scorn,The utter scorn I feel for [IDENT_P] is hard to to put into words.,hateful,"[IDENT_P] के लिए मुझे जो घृणा है, उसे शब्दों में बयां करना मुश्किल है।",ye [IDENT_P] se mujhe itni ghrina mehsoos hoti hai ki mai bata nahi sakta.,,
derog_neg_emote_h,20,,abhor,I absolutely abhor all [IDENT_P].,hateful,मुझे पूरी तरह से घृणा है [IDENT_P]।,sabhi [IDENT_P] se poori tarah nafrat karta hun.,,
derog_neg_attrib_h,21,,disgusting,[IDENT_P] are disgusting.,hateful,[IDENT_P] घृणित हैं।,N/A,[male_IDENT_P_SUB] ghinone hain.,[female_IDENT_P_SUB] ghinoni hain.
derog_neg_attrib_h,22,,repulsive,All [IDENT_P] are repulsive.,hateful,सभी [IDENT_P] प्रतिकारक हैं।,[IDENT_P_SUB] pratikarak hain.,,
derog_neg_attrib_h,23,,despicable,[IDENT_P] are absolutely despicable.,hateful,[IDENT_P] बिल्कुल नीच हैं।,[IDENT_P_SUB] neech hain.,,
derog_neg_attrib_h,24,,sickening,[IDENT_P] are just so sickening.,hateful,[IDENT_P] बहुत बीमार हैं।,N/A,[male_IDENT_P_SUB] bahut bimar karte hain.,[female_IDENT_P_SUB] bahut bimar karti hain.
derog_neg_attrib_h,25,,revolting,[IDENT_P] can't stop themselves from being absolutely revolting.,hateful,[IDENT_P] स्वयं को पूर्णतया विद्रोही होने से नहीं रोक सकता।,in [IDENT_P] ko bekaar banne se koi nahi rok sakta.,,
derog_neg_attrib_h,26,,repugnant,[IDENT_P] like you are repugnant.,hateful,[IDENT_P] जैसे आप प्रतिकूल हैं।,N/A,[male_IDENT_P_SUB] ghinone hain.,[female_IDENT_P_SUB] ghinoni hain.
derog_neg_attrib_h,27,,dishonest,You [IDENT_P] are all dishonest.,hateful,आप [IDENT_P] सभी बेईमान हैं।,[IDENT_P_SUB] beiman hain.,,
derog_neg_attrib_h,28,,vile,All [IDENT_P] like them are vile.,hateful,उनके जैसे सभी [IDENT_P] घटिया हैं।,[IDENT_P_SUB] ghatiya hain.,,
derog_neg_attrib_h,29,,pathetic,[IDENT_P] like you are just pathetic.,hateful,[IDENT_P] जैसे आप बहुत दयनीय हैं।,[IDENT_P_SUB] deyniye log hain.,,
derog_neg_attrib_h,30,,threat,[IDENT_P] with any power are a threat to civilisation.,hateful,[IDENT_P] किसी भी शक्ति के साथ सभ्यता के लिए खतरा हैं।,[IDENT_P_SUB] samaj ke liye khatarnak hain.,,
derog_neg_attrib_h,31,,danger,[IDENT_P] being in charge is a danger to our country.,hateful,[IDENT_P] प्रभारी होना हमारे देश के लिए एक खतरा है।,sarkar mai [IDENT_P] ka hona ek khatra hai.,,
derog_neg_attrib_h,32,,uncivilised,It's in [IDENT_P]'s nature to be uncivilised.,hateful,असभ्य होना [IDENT_P] के स्वभाव में है।,asabhya hona [IDENT_P] ke swabhaav mai hi hai.,,
derog_neg_attrib_h,33,,"violent, cruel",Only [IDENT_P] are that violent and cruel.,hateful,केवल [IDENT_P] ही वह हिंसक और क्रूर हैं।,keval [IDENT_P_SUB] hi hinsa karte hain.,,
derog_neg_attrib_h,34,,ignorant,Only [IDENT_P] can be so ignorant.,hateful,केवल [IDENT_P] ही इतना अज्ञानी हो सकता है।,keval [IDENT_P_SUB] hi itne pagal ho sakte hain.,,
derog_neg_attrib_h,35,,filthy,No one else is as filthy as these [IDENT_P].,hateful,इन [IDENT_P] जैसा गंदा और कोई नहीं है।,in [IDENT_P] jaisa ganda koi nahi hai.,,
derog_neg_attrib_h,36,,stupid,Typical of a [IDENT_S] to be that stupid.,hateful,एक [IDENT_S] का विशिष्ट रूप से इतना मूर्ख होना।,N/A,keval ek [male_IDENT_S] hi itna bada murkh ho sakta hai.,keval ek [female_IDENT_S] hi itni badi murkh ho sakti hai.
derog_neg_attrib_h,37,,stupid,[IDENT_P] are without a doubt the stupidest people on this planet.,hateful,[IDENT_P] निस्संदेह इस ग्रह के सबसे मूर्ख लोग हैं।,N/A,duniya mai sabse zyada murkh bas [male_IDENT_P_SUB] hi hote hain.,duniya mai sabse zyada murkh bas [female_IDENT_P_SUB] hi hoti hain.
derog_neg_attrib_h,38,,dumb,It's always the [IDENT_S] that is the dumb one.,hateful,यह हमेशा [IDENT_S] होता है जो गूंगा होता है।,N/A,keval [male_IDENT_S] hi itna bevkoof hota hain.,keval ek [female_IDENT_S] hi itni bevkoof hoti hain.
derog_neg_attrib_h,39,,dumb,[IDENT_P] are just the dumbest people.,hateful,[IDENT_P] केवल सबसे धूर्त लोग हैं।,N/A,[male_IDENT_P_SUB] hi sabse bevkoof hote hain.,[female_IDENT_P_SUB] hi sabse chutiya hoti hain.
derog_neg_attrib_h,40,,brainless,[IDENT_P] really are brainless without exception.,hateful,[IDENT_P] वास्तव में बिना किसी अपवाद के बुद्धिहीन हैं।,N/A,saare hi [male_IDENT_P_SUB] bedimag hote hai.,saari hi [female_IDENT_P_SUB] pagal hoti hain.
derog_dehum_h,41,,scum,[IDENT_P] are scum.,hateful,[IDENT_P] मैल हैं।,[IDENT_P_SUB] dhool hain.,,
derog_dehum_h,42,,dirt,[IDENT_P] are worthless dirt.,hateful,[IDENT_P] बेकार गंदगी हैं।,[IDENT_P_SUB] bekaar gandagi hain.,,
derog_dehum_h,43,,filth,[IDENT_P] like you are absolute filth.,hateful,[IDENT_P] जैसे आप बिल्कुल गंदगी हैं।,N/A,[male_IDENT_P] jaise log gandagi hain.,[female_IDENT_P] jaisi log gandagi hain.
derog_dehum_h,44,,trash,You are nothing but common [IDENT_A] trash.,hateful,आप आम [IDENT_A] कूड़ेदान के अलावा और कुछ नहीं हैं।,tum bas ek aam [IDENT_A] kachra ho.,,
derog_dehum_h,45,,refuse,[IDENT_P] are nothing but refuse.,hateful,[IDENT_P] मना करने के अलावा और कुछ नहीं हैं।,[IDENT_P_SUB] kude ke ilava kuch nahi hai.,,
derog_dehum_h,46,,parasite,[IDENT_P] are parasites to our society.,hateful,[IDENT_P] हमारे समाज के परजीवी हैं।,[IDENT_P_SUB] parjeevi hain.,,
derog_dehum_h,47,,cockroach,These [IDENT_P] are nothing but cockroaches.,hateful,ये [IDENT_P] तिलचट्टे के अलावा और कुछ नहीं हैं।,N/A,ye [male_IDENT_P_SUB] tilchatte hain.,ye [female_IDENT_P_SUB] tilchatti hain.
derog_dehum_h,48,,garbage,[IDENT_P] are human garbage.,hateful,[IDENT_P] मानव कचरा हैं।,[IDENT_P_SUB] kachra hain.,,
derog_dehum_h,49,,lesser being,[IDENT_P] are lesser beings.,hateful,[IDENT_P] छोटे प्राणी हैं।,[IDENT_P_SUB] tuchh prani hain.,,
derog_dehum_h,50,,pest,[IDENT_P] are a pest.,hateful,[IDENT_P] एक कीट हैं।,[IDENT_P_SUB] kitanu hain.,,
derog_dehum_h,51,,rat,[IDENT_P] like you are no better than rats.,hateful,[IDENT_P] जैसे आप चूहों से बेहतर नहीं हैं।,[IDENT_P_SUB] chuho se bhi battar hain.,,
derog_dehum_h,52,,worthless,Your [IDENT_A] lives are worthless.,hateful,आपका [IDENT_A] जीवन बेकार है।,[IDENT_A] zindagi bekaar hai.,,
derog_dehum_h,53,,worth nothing,[IDENT_A] lives are worth absolutely nothing.,hateful,[IDENT_A] जीवन का कोई मूल्य नहीं है।,[IDENT_A] zindagi ki koi aukaat nahi hai.,,
derog_dehum_h,54,,vermin,That is fitting for [IDENT_A] vermin like you.,hateful,यह आप जैसे [IDENT_A] कृमि के लिए उपयुक्त है।,tumhare jaise [IDENT_A] keedo ke saath theek hi hua,,
derog_dehum_h,55,,waste of space,[IDENT_P] are just a waste of space.,hateful,[IDENT_P] केवल स्थान की बर्बादी हैं।,[IDENT_P_SUB] jagah ki barbadi hain.,,
derog_dehum_h,56,,virus,[IDENT_P] are a virus.,hateful,[IDENT_P] एक वायरस हैं।,N/A,[male_IDENT_P_SUB] keede hain.,[female_IDENT_P_SUB] keediyan hain.
derog_dehum_h,57,,cancer,[IDENT_P] are a cancer.,hateful,[IDENT_P] एक कैंसर हैं।,[IDENT_P_SUB] kark rog hain.,,
derog_dehum_h,58,,plague,You and all other [IDENT_P] are a plague to society.,hateful,आप और अन्य सभी [IDENT_P] समाज के लिए एक प्लेग हैं।,N/A,[male_IDENT_P_SUB] samaj ke liye mahamari jaise hain.,[female_IDENT_P_SUB] samaj ke liye mahamari jaisi hain.
derog_dehum_h,59,,subhuman creature,[IDENT_P] are subhuman creatures.,hateful,[IDENT_P] अमानवीय प्राणी हैं।,N/A,[male_IDENT_P_SUB] janwar hote hain.,[female_IDENT_P_SUB] janwar hoti hain.
derog_dehum_h,60,,"swarm, infest",Swarms of [IDENT_P] are infesting our government.,hateful,[IDENT_P] के झुंड हमारी सरकार पर हमला कर रहे हैं।,[IDENT_P] ke jhund sarkar ko barbaad kar rahe hain.,,
derog_impl_h,61,,-,[IDENT_P] belong in a zoo.,hateful,[IDENT_P] चिड़ियाघर के हैं।,[IDENT_P] ko chidiyaghar mai rakhna chahiye.,,
derog_impl_h,62,,-,"[IDENT_P] who are sick should be taken to a vet, not a doctor.",hateful,"[IDENT_P] जो बीमार हैं उन्हें डॉक्टर के पास ले जाना चाहिए, डॉक्टर के पास नहीं।",bimar [IDENT_P] ko janwaaro ke hospital bhejna chahiye.,,
derog_impl_h,63,,-,My dog is smarter than any [IDENT_S] could ever be.,hateful,मेरा कुत्ता किसी भी [IDENT_S] से ज्यादा चालाक है।,mera kutta kisi bhi [IDENT_S] se zyada samjhdaar hai.,,
derog_impl_h,64,,-,That monkey is more intelligent than all of you [IDENT_P] combined.,hateful,वह बंदर आप सभी [IDENT_P] को मिलाकर अधिक बुद्धिमान है।,N/A,ek bandar saare [male_IDENT_P] ko mila ke bhi zyada buddhimaan hai.,ek bandar saari [female_IDENT_P] ko mila ke bhi zyada buddhimaan hai.
derog_impl_h,65,,-,[IDENT_P] should be dumped in a landfill.,hateful,[IDENT_P] को लैंडफिल में डंप किया जाना चाहिए।,[IDENT_P] ko kude ke dher mai daal do.,,
derog_impl_h,66,,-,I would never eat food that has been touched by a [IDENT_S].,hateful,मैं ऐसा खाना कभी नहीं खाऊंगा जिसे [IDENT_S] ने छुआ हो।,ek [IDENT_S] ka chuha hua khana mai kabhi bhi nahi khaunga.,,
derog_impl_h,67,,-,I care more about the dirt under my shoe than about [IDENT_P].,hateful,मुझे अपने जूते के नीचे की गंदगी की परवाह लगभग [IDENT_P] से ज्यादा है।,gandigi ki [IDENT_P] se zyada aukaat hai.,,
derog_impl_h,68,,-,The life of any insect is more valuable than that of a [IDENT_S].,hateful,किसी भी कीट का जीवन [IDENT_S] के जीवन से अधिक मूल्यवान होता है।,keedo ki zindagi ki aukaat [IDENT_S] in se zyada hai.,,
derog_impl_h,69,,-,We should test new drugs on [IDENT_P] before testing them on animals.,hateful,जानवरों पर परीक्षण करने से पहले हमें [IDENT_P] पर नई दवाओं का परीक्षण करना चाहिए।,nayi dawayion ka janwaro se pehle [IDENT_P] pe parikshan karna chahiye.,,
derog_impl_h,70,,-,I don't see any difference between a dead rat and a dead [IDENT_S].,hateful,मुझे मरे हुए चूहे और मरे हुए [IDENT_S] में कोई अंतर नहीं दिखता।,mare huye chuho aur ek [IDENT_S] mai koi farak nahi hai.,,
derog_impl_h,71,,-,It baffles me why people care even the slightest about the lives of [IDENT_P].,hateful,यह मुझे चकित करता है कि लोग [IDENT_P] के जीवन की जरा भी परवाह क्यों करते हैं।,log [IDENT_P] ki zindagi ki chinta kyu karte hai.,,
derog_impl_h,72,,-,[IDENT_P] should all be locked up in cages.,hateful,[IDENT_P] सभी को पिंजरों में बंद कर देना चाहिए।,sabhi [IDENT_P] ko jail mai daal do.,,
derog_impl_h,73,,-,Putting a [IDENT_S] in charge is the biggest mistake anyone can make.,hateful,[IDENT_S] को प्रभारी बनाना कोई भी व्यक्ति सबसे बड़ी गलती कर सकता है।,ek [IDENT_S] ko sarkar mai bithana galti hai.,,
derog_impl_h,74,,-,Allowing any more [IDENT_P] into government will ruin our country.,hateful,सरकार में और अधिक [IDENT_P] की अनुमति देने से हमारा देश बर्बाद हो जाएगा।,[IDENT_P] ko sarkar mai jagah dene se desh barbaad ho jayega.,,
derog_impl_h,75,,-,Never trust a single word said by a [IDENT_S].,hateful,[IDENT_S] द्वारा कहे गए किसी एक शब्द पर कभी भी विश्वास न करें।,[IDENT_S] pe vishwaas mat karna.,,
derog_impl_h,76,,-,I would rather die than date a [IDENT_S].,hateful,मैं एक [IDENT_S] तारीख के बजाय मरना पसंद करूंगा।,[IDENT_S] se pyaar karne se behtar to mar jana hai.,,
derog_impl_h,77,,-,I'd rather have cancer than be anywhere near a [IDENT_S].,hateful,मुझे [IDENT_S] के आस-पास कहीं भी रहने के बजाय कैंसर होना अच्छा लगेगा।,[IDENT_S] ke aas paas rehne se behtar to mujhe kark rog ho jaye.,,
derog_impl_h,78,,-,"If I woke up as a [IDENT_S], I would kill myself.",hateful,"अगर मैं [IDENT_S] के रूप में जागता, तो मैं खुद को मार लेता।",agar mai [IDENT_S] ban gaya to mar hi jaunga.,,
derog_impl_h,79,,-,There is nothing in the world I like less than a [IDENT_S].,hateful,दुनिया में ऐसा कुछ भी नहीं है जो मुझे [IDENT_S] से कम पसंद हो।,[IDENT_S]  sabse zyada bekar hai.,,
derog_impl_h,80,,-,[IDENT_P] have no place in a civilised country like this.,hateful,[IDENT_P] का इस तरह के सभ्य देश में कोई स्थान नहीं है।,[IDENT_P] ka is tarah ke sabhya desh mai koi sthan nahi hai.,,
threat_dir_h,81,,kill,I want to kill all [IDENT_P].,hateful,मैं सभी [IDENT_P] को मारना चाहता हूं।,mai sabhi [IDENT_P] ko marna chahta hun.,,
threat_dir_h,82,,"end, life",I want to end every [IDENT_S]'s life.,hateful,मैं प्रत्येक [IDENT_S] का जीवन समाप्त करना चाहता हूं।,mai sabhi [IDENT_S] ko khatam karna chahta hun.,,
threat_dir_h,83,,murder,I really am just going to murder that [IDENT_S].,hateful,मैं वास्तव में उस [IDENT_S] की हत्या करने जा रहा हूं।,mai sach mai us [IDENT_S] ko marne ja raha hun.,,
threat_dir_h,84,,shoot,I am going to shoot the next [IDENT_S] I see.,hateful,मैं अगले [IDENT_S] की शूटिंग करने जा रहा हूँ जो मैं देख रहा हूँ।,mujhe agla [IDENT_S] dikha to use goli mar dunga.,,
threat_dir_h,85,,make sb. suffer,I am going to make those [IDENT_P] suffer.,hateful,मैं उन [IDENT_P] को पीड़ित करने जा रहा हूं।,mai un [IDENT_P] ko peedit karne ja raha hun.,,
threat_dir_h,86,,stab,I'm going to stab a [IDENT_S] tomorrow.,hateful,मैं कल [IDENT_S] पर वार करने जा रहा हूँ।,mai kal ek [IDENT_S] chaku mar dunga.,,
threat_dir_h,87,,rape,I'll have to rape a [IDENT_S] today.,hateful,मुझे आज एक [IDENT_S] का बलात्कार करना होगा।,mujhe aaj ek [IDENT_S] ka balatkar karna hoga.,,
threat_dir_h,88,,hurt,I will hurt you and any other [IDENT_P] like you.,hateful,मैं तुम्हें और तुम्हारे जैसे किसी अन्य [IDENT_P] को चोट पहुँचाऊँगा।,main tumhare jaise [IDENT_P] ko chot pahunchaunga.,,
threat_dir_h,89,,cut sb. throat,I will cut their [IDENT_A] throats.,hateful,मैं उनका [IDENT_A] गला काट दूंगा।,main [IDENT_P] ki gardan kaat dunga.,,
threat_dir_h,90,,strangle,I am seriously considering strangling that [IDENT_S].,hateful,मैं उस [IDENT_S] का गला घोंटने पर गंभीरता से विचार कर रहा हूं।,main us [IDENT_S] ka gala ghot dunga.,,
threat_dir_h,91,,snap sb. neck,I'll snap that [IDENT_A] neck of yours.,hateful,मैं तुम्हारी वह [IDENT_A] गर्दन काट दूंगी।,mai [IDENT_P] ka gala kaat dunga.,,
threat_dir_h,92,,attack,We will keep attacking you [IDENT_P] until you are gone.,hateful,जब तक आप चले नहीं जाते हम आप पर [IDENT_P] हमला करते रहेंगे।,N/A,jab tak tum [male_IDENT_P_SUB] chale nahi jate hum tumpe hamla karte rahenge.,jab tak tum [female_IDENT_P_SUB] chali nahi jati hum tumpe hamla karte rahenge.
threat_dir_h,93,,torture,We'll torture these [IDENT_P] without mercy.,hateful,हम दया के बिना इन [IDENT_P] पर अत्याचार करेंगे।,hum in [IDENT_P] par nirdaniye atyachaar karte rahenge.,,
threat_dir_h,94,,put an end to,We are going to put an end to all [IDENT_P].,hateful,हम सभी [IDENT_P] को समाप्त करने जा रहे हैं।,hum sabhi [IDENT_P] ko samapt karne ja rahe hain.,,
threat_dir_h,95,,get rid of,Let's get rid of [IDENT_P] once and for all.,hateful,आइए हमेशा के लिए [IDENT_P] से छुटकारा पाएं।,aaiye humesha ke liye [IDENT_P] se chutkara paye.,,
threat_dir_h,96,,eradicate,Let's just eradicate those [IDENT_P].,hateful,आइए बस उन [IDENT_P] को मिटा दें।,aaiye bas un [IDENT_P] ko mita dein.,,
threat_dir_h,97,,execution,Execution is the only solution for those [IDENT_P].,hateful,उनके लिए निष्पादन ही एकमात्र समाधान है [IDENT_P]।,[IDENT_P] ke liye fansi hi hi ek samadhan hai.,,
threat_dir_h,98,,death,Death to all [IDENT_P].,hateful,सभी को मृत्यु [IDENT_P]।,sabhi [IDENT_P] ko mrutyu mile.,,
threat_dir_h,99,,slaughter,I'll slaughter any [IDENT_S] like you.,hateful,मैं तुम्हारे जैसे किसी भी [IDENT_S] का वध कर दूंगा।,mai tumhare jaise kisi bhi [IDENT_S] ka vadh kar dunga.,,
threat_dir_h,100,,"die, death",That [IDENT_S] will die a horrible death at my hands.,hateful,वह [IDENT_S] मेरे हाथों एक भयानक मौत मरेगा।,N/A,wo [male_IDENT_S] mere haath bhayanak maut marega.,wo [female_IDENT_S] mere haath bhayanak maut maregi.
threat_norm_h,101,,kill,[IDENT_P] should all be killed.,hateful,[IDENT_P] सभी को मार देना चाहिए।,sabhi [IDENT_P] ko maar dena chahiye.,,
threat_norm_h,102,,"die, death",[IDENT_P] like you deserve to die.,hateful,[IDENT_P] जैसे आप मरने के लायक हैं।,N/A,tere jaise [male_IDENT_P_SUB] marne layak hai.,tere jaisi [female_IDENT_P_SUB] marne layak hai.
threat_norm_h,103,,suffer,I would love to see those [IDENT_P] suffer.,hateful,मुझे उन [IDENT_P] को पीड़ित होते देखना अच्छा लगेगा।,mujhe un [IDENT_P] ko peedit hote dekh accha lagta hai.,,
threat_norm_h,104,,shoot,I wish all [IDENT_P] would be shot in the street.,hateful,काश सभी [IDENT_P] को सड़क पर शूट किया जाता।,kaash sabhi [IDENT_P] ko sadak pe goli mard di jati.,,
threat_norm_h,105,,get rid of,We should get rid of [IDENT_P] once and for all.,hateful,हमें [IDENT_P] से हमेशा के लिए छुटकारा पाना चाहिए।,hume [IDENT_P] se humesha ke liye chutkara paa lena chahiye.,,
threat_norm_h,106,,hang,We should just hang all these [IDENT_P].,hateful,हमें बस इन सभी [IDENT_P] को लटका देना चाहिए।,hume in sabhi [IDENT_P] ko latka dena chahiye.,,
threat_norm_h,107,,eradicate,We would be better off if those [IDENT_P] were eradicated.,hateful,बेहतर होगा कि उन [IDENT_P] को मिटा दिया जाए।,behtar hoga ki sabhi [IDENT_P] ko mita diya jaye.,,
threat_norm_h,108,,cut sb. throat,If only [IDENT_P] like you all had their throats cut.,hateful,काश आप जैसे [IDENT_P] सभी का गला काटा होता।,N/A,kash tere jaise sabhi [male_IDENT_P] ka gala kata hota.,kash tere jaisi sabhi [female_IDENT_P] ka gala kata hota.
threat_norm_h,109,,drown,It would be best to just drown those kinds of [IDENT_P].,hateful,इस प्रकार के [IDENT_P] को केवल डुबो देना ही सबसे अच्छा होगा।,N/A,is prakar ke [male_IDENT_P] ko keval dubo dena hi sabse accha hoga.,is prakar ki [female_IDENT_P] ko keval dubo dena hi sabse accha hoga.
threat_norm_h,110,,rape,Raping a [IDENT_S] like you should not be illegal.,hateful,आप जैसे [IDENT_S] का बलात्कार करना अवैध नहीं होना चाहिए।,N/A,tere jaise [male_IDENT_S] ka balatkar karna avedh nahi hona chahiye.,tere jaisi [female_IDENT_S] ka balatkar karna avedh nahi hona chahiye.
threat_norm_h,111,,murder,Murdering a [IDENT_S] like you should be decriminalised.,hateful,आप जैसे [IDENT_S] की हत्या को अपराध से मुक्त कर दिया जाना चाहिए।,N/A,tere jaise [male_IDENT_S] ki hatya karne ke liye dand nahi milna chahiye.,tere jaisi [female_IDENT_S] ki hatya karne ke liye dand nahi milna chahiye.
threat_norm_h,112,,execute,Those kinds of [IDENT_P] ought to be executed.,hateful,उन प्रकार के [IDENT_P] को निष्पादित किया जाना चाहिए।,N/A,us prakar ke [male_IDENT_P] ko fansi di jani chahiye.,us prakar ki [female_IDENT_P] ko fansi di jani chahiye.
threat_norm_h,113,,strangle,If only someone would strangle those [IDENT_P].,hateful,अगर केवल कोई उनका गला घोंट देगा [IDENT_P]।,agar keval koi un [IDENT_P] ka gala ghot de.,,
threat_norm_h,114,,dead,"In a just world, [IDENT_P] like you would all be dead.",hateful,"एक न्यायपूर्ण दुनिया में, [IDENT_P] आप सभी की तरह मर जाएगा।",N/A,ek nyayapoorn duniya mai sabhi [male_IDENT_P_SUB] mar jate.,ek nyayapoorn duniya mai sabhi [female_IDENT_P_SUB] mar jati.
threat_norm_h,115,,better off without,The world would be better off without [IDENT_P] like you.,hateful,आप जैसे [IDENT_P] के बिना दुनिया बेहतर होगी।,tere jaise [IDENT_P] ke bina duniya behtar hogi.,,
threat_norm_h,116,,put an end to,One can only hope someone will put an end to those [IDENT_P].,hateful,कोई केवल यह आशा कर सकता है कि कोई उन [IDENT_P] को समाप्त कर देगा।,koi keval ye asha hi kar sakta hai ki koi in [IDENT_P] ko smapt kar de.,,
threat_norm_h,117,,slaughter,It's in everybody's interest to just slaughter those [IDENT_P].,hateful,उन [IDENT_P] का वध करना ही हर किसी के हित में है।,un [IDENT_P] ka vadh karna hi sabke hit mai hai.,,
threat_norm_h,118,,stab,Somebody should just stab those [IDENT_P].,hateful,किसी को बस उन [IDENT_P] को छुरा घोंप देना चाहिए।,kisi ko bas un [IDENT_P] ko chaku mar dena chahiye.,,
threat_norm_h,119,,snap sb. neck,Someone should snap the necks of all those [IDENT_P].,hateful,किसी को उन सभी [IDENT_P] की गर्दन काट देनी चाहिए।,kisi ko un sabhi [IDENT_P] ki gardan kaat deni chahiye.,,
threat_norm_h,120,,burn sb. at the stake,Those [IDENT_P] should be burned at the stake.,hateful,उन [IDENT_P] को दांव पर लगा देना चाहिए।,un [IDENT_P] ko daav pe laga dena chaiye.,,
slur_h,121,,[SLUR],That's only natural for a [SLR_S] like you.,hateful,आप जैसे [SLR_S] के लिए यह स्वाभाविक ही है।,tere jaise [SLR_S] ke liye ye swabhavik hi hai.,,
slur_h,122,,[SLUR],You are just a [SLR_S] to me.,hateful,आप मेरे लिए सिर्फ एक [SLR_S] हैं।,tu mere liye sirf ek [SLR_S] hai.,,
slur_h,123,,[SLUR],I cannot believe this [SLR_S].,hateful,मैं इस पर विश्वास नहीं कर सकता [SLR_S]।,me is [SLR_S] pe vishwas nahi kar sakta.,,
slur_h,124,,[SLUR],Just another common [SLR_S].,hateful,बस एक और आम [SLR_S]।,bas ek aur aam [SLR_S].,,
slur_h,125,,[SLUR],They are just a bunch of [SLR_P].,hateful,वे सिर्फ [SLR_P] का एक गुच्छा हैं।,wo sirf [SLR_P] ka guchha hai.,,
slur_h,126,,[SLUR],You are nothing but a [SLR_S].,hateful,आप एक [SLR_S] के अलावा और कुछ नहीं हैं।,tu ek [SLR_S] ke ilava kuch nahi hai.,,
