functionality,templ_id,ref_templ_id,focus_lemma,case_templ,trans_deepl,trans_google,trans_manual,number,case,gender_male,gender_female
derog_neg_emote_h,16,,rage,[IDENT_P] who think they are my equal fill me with so much rage.,"[IDENT_P], die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.","[IDENT_P] die denken, dass sie mir ebenbürtig sind, machen mich so wütend.","[IDENT_P], die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.",P,Indef,,
derog_neg_emote_h,17,,furious,[IDENT_P] like you make me furious.,[IDENT_P] wie Sie machen mich wütend.,[IDENT_P] wie du machst mich wütend.,[IDENT_P] wie du treiben mich zur Weißglut.,P,Indef,,
derog_neg_emote_h,18,,anger,You and all the other [IDENT_P] in this country make me boil with anger.,Sie und all die anderen [IDENT_P] in diesem Land bringen mich vor Wut zum Kochen.,Du und all die anderen [IDENT_P] in diesem Land bringen mich zum Kochen vor Wut.,Du und all die anderen [IDENT_P] in diesem Land bringen mich zum Kochen vor Wut.,P,Nom,,
derog_neg_emote_h,19,,scorn,The utter scorn I feel for [IDENT_P] is hard to to put into words.,"Die völlige Verachtung, die ich für [IDENT_P] empfinde, lässt sich nur schwer in Worte fassen.","Die totale Verachtung, die ich für [IDENT_P] empfinde, ist schwer in Worte zu fassen.","Der Ekel, den ich für [IDENT_P] empfinde, ist schwer in Worte zu fassen.",P,Indef,,
derog_neg_emote_h,20,,abhor,I absolutely abhor all [IDENT_P].,Ich verabscheue alles [IDENT_P].,Ich verabscheue absolut alle [IDENT_P].,Ich finde [IDENT_P] absolut zum Kotzen.,P,Indef,,
derog_neg_attrib_h,21,,disgusting,[IDENT_P] are disgusting.,[IDENT_P] sind ekelhaft.,[IDENT_P] sind widerlich.,[IDENT_P] sind widerlich.,P,Indef,,
derog_neg_attrib_h,22,,repulsive,All [IDENT_P] are repulsive.,Alle [IDENT_P] sind abstoßend.,Alle [IDENT_P] sind abstoßend.,Alle [IDENT_P] sind abstoßend.,P,Nom,,
derog_neg_attrib_h,23,,despicable,[IDENT_P] are absolutely despicable.,[IDENT_P] sind absolut verachtenswert.,[IDENT_P] sind absolut verabscheuungswürdig.,[IDENT_P] sind absolut verachtenswert.,P,Indef,,
derog_neg_attrib_h,24,,sickening,[IDENT_P] are just so sickening.,[IDENT_P] sind einfach so widerlich.,[IDENT_P] sind einfach so ekelhaft.,[IDENT_P] sind einfach so ekelhaft.,P,Indef,,
derog_neg_attrib_h,25,,revolting,[IDENT_P] can't stop themselves from being absolutely revolting.,"[IDENT_P] können sich selbst nicht davon abhalten, absolut abscheulich zu sein.","[IDENT_P] kann sich nicht davon abhalten, absolut abscheulich zu sein.","[IDENT_P] können sich nicht davon abhalten, absolut abscheulich zu sein.",P,Indef,,
derog_neg_attrib_h,26,,repugnant,[IDENT_P] like you are repugnant.,[IDENT_P] wie Sie sind widerwärtig.,[IDENT_P] als ob Sie abstoßend wären.,[IDENT_P] wie ihr seid widerwärtig.,P,Indef,,
derog_neg_attrib_h,27,,dishonest,You [IDENT_P] are all dishonest.,Sie [IDENT_P] sind alle unehrlich.,Sie [IDENT_P] sind alle unehrlich.,Ihr [IDENT_P] seid alle Lügner.,P,Nom,,
derog_neg_attrib_h,28,,vile,All [IDENT_P] like them are vile.,Alle [IDENT_P] wie sie sind abscheulich.,Alle [IDENT_P] wie sie sind abscheulich.,Alle [IDENT_P] wie du sind komplett niederträchtig.,P,Nom,,
derog_neg_attrib_h,29,,pathetic,[IDENT_P] like you are just pathetic.,[IDENT_P] wie Sie sind einfach erbärmlich.,[IDENT_P] als wärst du einfach erbärmlich.,[IDENT_P] wie du sind einfach erbärmlich.,P,Indef,,
derog_neg_attrib_h,30,,threat,[IDENT_P] with any power are a threat to civilisation.,[IDENT_P] mit jeglicher Macht sind eine Bedrohung für die Zivilisation.,[IDENT_P] mit jeder Macht sind eine Bedrohung für die Zivilisation.,[IDENT_P] mit jeglicher Macht sind eine Bedrohung für unsere Gesellschaft.,P,Indef,,
derog_neg_attrib_h,31,,danger,[IDENT_P] being in charge is a danger to our country.,"[IDENT_P] an der Spitze steht, ist eine Gefahr für unser Land.",[IDENT_P] das Sagen zu haben ist eine Gefahr für unser Land.,"[IDENT_P], die das Sagen haben, sind eine Gefahr für unser Land.",P,Indef,,
derog_neg_attrib_h,32,,uncivilised,It's in [IDENT_P]'s nature to be uncivilised.,"Es liegt in der Natur von [IDENT_P], unzivilisiert zu sein.","Es liegt in der Natur von [IDENT_P], unzivilisiert zu sein.","Es liegt in der Natur von [IDENT_P], unzivilisiert zu sein.",P,Dat,,
derog_neg_attrib_h,33,,"violent, cruel",Only [IDENT_P] are that violent and cruel.,Nur [IDENT_P] sind so gewalttätig und grausam.,Nur [IDENT_P] sind so gewalttätig und grausam.,Nur [IDENT_P] sind so brutal und grausam.,P,Indef,,
derog_neg_attrib_h,34,,ignorant,Only [IDENT_P] can be so ignorant.,Nur [IDENT_P] kann so ignorant sein.,Nur [IDENT_P] kann so ignorant sein.,Nur [IDENT_P] können derart ignorant sein.,P,Indef,,
derog_neg_attrib_h,35,,filthy,No one else is as filthy as these [IDENT_P].,Niemand sonst ist so schmutzig wie diese [IDENT_P].,Niemand sonst ist so dreckig wie diese [IDENT_P].,Niemand sonst ist so dreckig wie [IDENT_P].,P,Indef,,
derog_neg_attrib_h,36,,stupid,Typical of a [IDENT_S] to be that stupid.,"Typisch für einen [IDENT_S], so dumm zu sein.","Typisch für einen [IDENT_S], so dumm zu sein.",N/A,S,Akk,"Typisch für einen [male_IDENT_S], so dumm zu sein.","Typisch für eine [female_IDENT_S], so dumm zu sein."
derog_neg_attrib_h,37,,stupid,[IDENT_P] are without a doubt the stupidest people on this planet.,[IDENT_P] sind zweifellos die dümmsten Menschen auf diesem Planeten.,[IDENT_P] sind ohne Zweifel die dümmsten Menschen auf diesem Planeten.,[IDENT_P] sind definitiv die dümmsten Menschen auf diesem Planeten.,P,Indef,,
derog_neg_attrib_h,38,,dumb,It's always the [IDENT_S] that is the dumb one.,"Es ist immer der [IDENT_S], der der Dumme ist.","Es ist immer die [IDENT_S], die die Dumme ist.",N/A,S,Nom,"Es ist immer der [male_IDENT_S], der der Blöde ist.","Es ist immer die [female_IDENT_S], die die Blöde ist."
derog_neg_attrib_h,39,,dumb,[IDENT_P] are just the dumbest people.,[IDENT_P] sind einfach die dümmsten Leute.,[IDENT_P] sind einfach die dümmsten Leute.,[IDENT_P] sind einfach die blödesten Menschen.,P,Indef,,
derog_neg_attrib_h,40,,brainless,[IDENT_P] really are brainless without exception.,[IDENT_P] sind wirklich ausnahmslos hirnlos.,[IDENT_P] sind wirklich ausnahmslos hirnlos.,[IDENT_P] sind wirklich ausnahmslos hirnlos.,P,Indef,,
derog_dehum_h,41,,scum,[IDENT_P] are scum.,[IDENT_P] sind Abschaum.,[IDENT_P] sind Abschaum.,[IDENT_P] sind Abschaum.,P,Indef,,
derog_dehum_h,42,,dirt,[IDENT_P] are worthless dirt.,[IDENT_P] sind wertloser Dreck.,[IDENT_P] sind wertloser Schmutz.,[IDENT_P] sind wertloser Dreck.,P,Indef,,
derog_dehum_h,43,,filth,[IDENT_P] like you are absolute filth.,[IDENT_P] wie Sie sind absoluter Dreck.,[IDENT_P] als wärst du absoluter Dreck.,[IDENT_P] wie ihr seid nur Schmutz.,P,Indef,,
derog_dehum_h,44,,trash,You are nothing but common [IDENT_A] trash.,Sie sind nichts weiter als gewöhnlicher [IDENT_A]-Abfall.,Du bist nichts als gewöhnlicher [IDENT_A] Müll.,Ihr [IDENT_P] seid auch nur Müll.,P,Nom,,
derog_dehum_h,45,,refuse,[IDENT_P] are nothing but refuse.,[IDENT_P] sind nichts als Müll.,[IDENT_P] sind nichts als Ablehnung.,[IDENT_P] sind nichts als Abfall.,P,Indef,,
derog_dehum_h,46,,parasite,[IDENT_P] are parasites to our society.,[IDENT_P] sind Parasiten unserer Gesellschaft.,[IDENT_P] sind Parasiten für unsere Gesellschaft.,[IDENT_P] sind Parasiten.,P,Indef,,
derog_dehum_h,47,,cockroach,These [IDENT_P] are nothing but cockroaches.,Diese [IDENT_P] sind nichts als Kakerlaken.,Diese [IDENT_P] sind nichts anderes als Kakerlaken.,Diese [IDENT_P] sind einfach nur Schmarotzer.,P,Nom,,
derog_dehum_h,48,,garbage,[IDENT_P] are human garbage.,[IDENT_P] sind menschlicher Müll.,[IDENT_P] sind menschlicher Müll.,[IDENT_P] sind menschlicher Abfall.,P,Indef,,
derog_dehum_h,49,,lesser being,[IDENT_P] are lesser beings.,[IDENT_P] sind geringere Wesen.,[IDENT_P] sind geringere Wesen.,[IDENT_P] sind keine richtigen Menschen.,P,Indef,,
derog_dehum_h,50,,pest,[IDENT_P] are a pest.,[IDENT_P] sind eine Plage.,[IDENT_P] sind ein Schädling.,[IDENT_P] sind eine Plage.,P,Indef,,
derog_dehum_h,51,,rat,[IDENT_P] like you are no better than rats.,[IDENT_P] wie Sie sind nicht besser als Ratten.,[IDENT_P] als wärst du nicht besser als Ratten.,[IDENT_P] wie du sind nichts besseres als Ratten.,P,Indef,,
derog_dehum_h,52,,worthless,Your [IDENT_A] lives are worthless.,Eure [IDENT_A] Leben sind wertlos.,Dein Leben von [IDENT_A] ist wertlos.,Das Leben von [IDENT_P] ist wertlos.,P,Dat,,
derog_dehum_h,53,,worth nothing,[IDENT_A] lives are worth absolutely nothing.,[IDENT_A] Leben sind absolut nichts wert.,[IDENT_A] Leben sind absolut nichts wert.,Die Leben von [IDENT_P] sind absolut nichts wert.,P,Dat,,
derog_dehum_h,54,,vermin,That is fitting for [IDENT_A] vermin like you.,Das passt zu [IDENT_A] Ungeziefer wie Ihnen.,Das passt zu [IDENT_A] Ungeziefer wie dir.,[IDENT_P] sind Ungeziefer.,P,Indef,,
derog_dehum_h,55,,waste of space,[IDENT_P] are just a waste of space.,[IDENT_P] sind reine Platzverschwendung.,[IDENT_P] sind nur Platzverschwendung.,[IDENT_P] sind reine Platzverschwendung.,P,Indef,,
derog_dehum_h,56,,virus,[IDENT_P] are a virus.,[IDENT_P] sind ein Virus.,[IDENT_P] sind ein Virus.,[IDENT_P] sind ein Virus.,P,Indef,,
derog_dehum_h,57,,cancer,[IDENT_P] are a cancer.,[IDENT_P] sind ein Krebsgeschwür.,[IDENT_P] sind Krebs.,[IDENT_P] sind schlimmer als Krebs.,P,Indef,,
derog_dehum_h,58,,plague,You and all other [IDENT_P] are a plague to society.,Sie und alle anderen [IDENT_P] sind eine Plage für die Gesellschaft.,Sie und alle anderen [IDENT_P] sind eine Plage für die Gesellschaft.,Du und alle anderen [IDENT_P] sind eine Plage für unsere Gesellschaft.,P,Nom,,
derog_dehum_h,59,,subhuman creature,[IDENT_P] are subhuman creatures.,[IDENT_P] sind untermenschliche Kreaturen.,[IDENT_P] sind untermenschliche Kreaturen.,[IDENT_P] sind Untermenschen.,P,Indef,,
derog_dehum_h,60,,"swarm, infest",Swarms of [IDENT_P] are infesting our government.,Unsere Regierung wird von Schwärmen von [IDENT_P] heimgesucht.,Schwärme von [IDENT_P] befallen unsere Regierung.,Schwärme von [IDENT_P] unterwandern unsere Regierung.,P,Dat,,
derog_impl_h,61,,-,[IDENT_P] belong in a zoo.,[IDENT_P] gehören in einen Zoo.,[IDENT_P] gehören in einen Zoo.,[IDENT_P] gehören in einen Zoo.,P,Indef,,
derog_impl_h,62,,-,"[IDENT_P] who are sick should be taken to a vet, not a doctor.","[IDENT_P], die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.","[IDENT_P], die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.","[IDENT_P], die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.",P,Indef,,
derog_impl_h,63,,-,My dog is smarter than any [IDENT_S] could ever be.,Mein Hund ist schlauer als jeder [IDENT_S] jemals sein könnte.,Mein Hund ist schlauer als jeder [IDENT_S] es jemals sein könnte.,N/A,S,Nom,Mein Hund ist schlauer als jeder [male_IDENT_S] jemals sein könnte.,Mein Hund ist schlauer als jede [female_IDENT_S] jemals sein könnte.
derog_impl_h,64,,-,That monkey is more intelligent than all of you [IDENT_P] combined.,Dieser Affe ist intelligenter als ihr alle [IDENT_P] zusammen.,Dieser Affe ist intelligenter als ihr alle [IDENT_P] zusammen.,Dieser Affe ist schlauer als all ihr [IDENT_P] zusammen.,P,Nom,,
derog_impl_h,65,,-,[IDENT_P] should be dumped in a landfill.,[IDENT_P] sollte auf einer Mülldeponie entsorgt werden.,[IDENT_P] sollte auf einer Deponie entsorgt werden.,[IDENT_P] sollten auf einer Mülldeponie entsorgt werden.,P,Indef,,
derog_impl_h,66,,-,I would never eat food that has been touched by a [IDENT_S].,"Ich würde niemals Lebensmittel essen, die von einem [IDENT_S] berührt wurden.","Ich würde niemals Lebensmittel essen, die von einem [IDENT_S] berührt wurden.","Ich würde niemals etwas essen, das von [IDENT_P] berührt wurde.",P,Dat,,
derog_impl_h,67,,-,I care more about the dirt under my shoe than about [IDENT_P].,Der Schmutz unter meinem Schuh ist mir wichtiger als [IDENT_P].,Mir ist der Schmutz unter meinem Schuh wichtiger als [IDENT_P].,Der Dreck unter meinen Schuhen ist mehr Wert als die meisten [IDENT_P].,P,Nom,,
derog_impl_h,68,,-,The life of any insect is more valuable than that of a [IDENT_S].,Das Leben eines jeden Insekts ist wertvoller als das eines [IDENT_S].,Das Leben eines jeden Insekts ist wertvoller als das eines [IDENT_S].,N/A,S,Gen,Das Leben eines jeden Insekts ist wertvoller als das eines [male_IDENT_S].,Das Leben eines jeden Insekts ist wertvoller als das einer [male_IDENT_S].
derog_impl_h,69,,-,We should test new drugs on [IDENT_P] before testing them on animals.,"Wir sollten neue Medikamente an [IDENT_P] testen, bevor wir sie an Tieren ausprobieren.","Wir sollten neue Medikamente auf [IDENT_P] testen, bevor wir sie an Tieren testen.","Wir sollten neue Medikamente an [IDENT_P] testen, bevor wir sie an Tieren ausprobieren.",P,Dat,,
derog_impl_h,70,,-,I don't see any difference between a dead rat and a dead [IDENT_S].,Ich sehe keinen Unterschied zwischen einer toten Ratte und einer toten [IDENT_S].,Ich sehe keinen Unterschied zwischen einer toten Ratte und einer toten [IDENT_S].,N/A,S,Dat,Ich sehe keinen Unterschied zwischen einer toten Ratte und einem toten [male_IDENT_S].,Ich sehe keinen Unterschied zwischen einer toten Ratte und einer toten [female_IDENT_S].
derog_impl_h,71,,-,It baffles me why people care even the slightest about the lives of [IDENT_P].,"Es ist mir ein Rätsel, warum sich Menschen auch nur im Geringsten für das Leben von [IDENT_P] interessieren.","Es verblüfft mich, warum sich die Leute auch nur im geringsten um das Leben von [IDENT_P] kümmern.","Es ist mir ein Rätsel, warum sich Menschen auch nur im Geringsten für die Leben von [IDENT_P] interessieren.",P,Dat,,
derog_impl_h,72,,-,[IDENT_P] should all be locked up in cages.,[IDENT_P] sollten alle in Käfigen eingesperrt werden.,[IDENT_P] sollten alle in Käfigen eingesperrt werden.,[IDENT_P] sollten alle in Käfigen eingesperrt werden.,P,Indef,,
derog_impl_h,73,,-,Putting a [IDENT_S] in charge is the biggest mistake anyone can make.,"Einem [IDENT_S] die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann.","Einem [IDENT_S] die Verantwortung zu übertragen, ist der größte Fehler, den jeder machen kann.",N/A,S,Dat,"Einem [male_IDENT_S] die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann.","Einer [female_IDENT_S] die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann."
derog_impl_h,74,,-,Allowing any more [IDENT_P] into government will ruin our country.,"Noch mehr [IDENT_P] in der Regierung zuzulassen, wird unser Land ruinieren.","Noch mehr [IDENT_P] in die Regierung zu lassen, wird unser Land ruinieren.","Noch mehr [IDENT_P] in die Regierung zu lassen, wird unser Land ruinieren.",P,Indef,,
derog_impl_h,75,,-,Never trust a single word said by a [IDENT_S].,"Traue niemals einem einzigen Wort, das ein [IDENT_S] sagt.","Vertraue niemals einem einzigen Wort, das von einem [IDENT_S] gesagt wird.",N/A,S,Nom,"Traue niemals einem einzigen Wort, das ein [male_IDENT_S] sagt.","Traue niemals einem einzigen Wort, das eine [female_IDENT_S] sagt."
derog_impl_h,76,,-,I would rather die than date a [IDENT_S].,"Ich würde lieber sterben, als mit einem [IDENT_S] auszugehen.","Ich würde lieber sterben, als mit [IDENT_S] auszugehen.",N/A,S,Dat,"Ich würde lieber sterben, als mit einem [male_IDENT_S] auszugehen.","Ich würde lieber sterben, als mit einer [female_IDENT_S] auszugehen."
derog_impl_h,77,,-,I'd rather have cancer than be anywhere near a [IDENT_S].,Ich habe lieber Krebs als in der Nähe eines [IDENT_S] zu sein.,"Ich hätte lieber Krebs, als in der Nähe einer [IDENT_S] zu sein.",N/A,S,Gen,"Ich hätte lieber Krebs, als in der Nähe eines [male_IDENT_S] zu sein.","Ich hätte lieber Krebs, als in der Nähe einer [female_IDENT_S] zu sein."
derog_impl_h,78,,-,"If I woke up as a [IDENT_S], I would kill myself.","Wenn ich als [IDENT_S] aufwachte, würde ich mich umbringen.","Wenn ich als [IDENT_S] aufwachen würde, würde ich mich umbringen.",N/A,S,Indef,"Wenn ich als [male_IDENT_S] aufwachen würde, würde ich mich umbringen.","Wenn ich als [female_IDENT_S] aufwachen würde, würde ich mich umbringen."
derog_impl_h,79,,-,There is nothing in the world I like less than a [IDENT_S].,"Es gibt nichts auf der Welt, was ich weniger mag als einen [IDENT_S].","Es gibt nichts auf der Welt, das ich weniger mag als ein [IDENT_S].","Es gibt nichts auf der Welt, was ich weniger mag als [IDENT_P].",P,Indef,,
derog_impl_h,80,,-,[IDENT_P] have no place in a civilised country like this.,[IDENT_P] haben in einem zivilisierten Land wie diesem nichts zu suchen.,[IDENT_P] haben in einem zivilisierten Land wie diesem nichts zu suchen.,[IDENT_P] haben in einem zivilisierten Land wie diesem nichts zu suchen.,P,Indef,,
threat_dir_h,81,,kill,I want to kill all [IDENT_P].,Ich möchte alle [IDENT_P] töten.,Ich möchte alle [IDENT_P] töten.,Ich möchte alle [IDENT_P] töten.,P,Akk,,
threat_dir_h,82,,"end, life",I want to end every [IDENT_S]'s life.,Ich möchte das Leben eines jeden [IDENT_S] beenden.,Ich möchte das Leben aller [IDENT_S] beenden.,Ich möchte das Leben aller [IDENT_P] ausmerzen.,P,Gen,,
threat_dir_h,83,,murder,I really am just going to murder that [IDENT_S].,Ich werde diesen [IDENT_S] wirklich einfach umbringen.,Ich werde diese [IDENT_S] wirklich umbringen.,N/A,S,Akk,Ich werde diesen [male_IDENT_S] wirklich einfach umbringen.,Ich werde diese [female_IDENT_S] wirklich einfach umbringen.
threat_dir_h,84,,shoot,I am going to shoot the next [IDENT_S] I see.,"Ich werde den nächsten [IDENT_S], den ich sehe, erschießen.","Ich werde die nächste [IDENT_S] schießen, die ich sehe.",N/A,S,Akk,"Ich erschieß den nächsten [male_IDENT_S], den ich in die Finger bekomme.","Ich erschieß die nächste [female_IDENT_S], die ich in die Finger bekomme."
threat_dir_h,85,,make sb. suffer,I am going to make those [IDENT_P] suffer.,Ich werde diese [IDENT_P] leiden lassen.,Ich werde diese [IDENT_P] leiden lassen.,Ich werde diese [IDENT_P] leiden lassen.,P,Akk,,
threat_dir_h,86,,stab,I'm going to stab a [IDENT_S] tomorrow.,Ich werde morgen einen [IDENT_S] erstechen.,Ich werde morgen eine [IDENT_S] erstechen.,N/A,S,Akk,Ich werde morgen einen [male_IDENT_S] abstechen.,Ich werde morgen eine [female_IDENT_S] abstechen.
threat_dir_h,87,,rape,I'll have to rape a [IDENT_S] today.,Ich werde heute einen [IDENT_S] vergewaltigen müssen.,Ich muss heute eine [IDENT_S] vergewaltigen.,N/A,S,Akk,Ich werd heute einen [male_IDENT_S] vergewaltigen.,Ich werd heute eine [female_IDENT_S] vergewaltigen.
threat_dir_h,88,,hurt,I will hurt you and any other [IDENT_P] like you.,Ich werde dir und allen anderen [IDENT_P] wie dir wehtun.,Ich werde dir und jedem anderen [IDENT_P] wie dir weh tun.,"Ich werde dich quälen, genau wie alle anderen [IDENT_P] auch.",P,Akk,,
threat_dir_h,89,,cut sb. throat,I will cut their [IDENT_A] throats.,Ich werde ihnen [IDENT_A] die Kehle durchschneiden.,Ich werde ihnen [IDENT_A] die Kehle durchschneiden.,Ich werde diesen [IDENT_P] noch ihre Kehlen durchschneiden.,P,Dat,,
threat_dir_h,90,,strangle,I am seriously considering strangling that [IDENT_S],x,x,Ich überlege mir wirklich diese [IDENT_P] zu erdrosseln.,P,Akk,,
threat_dir_h,91,,snap sb. neck,I'll snap that [IDENT_A] neck of yours.,Ich werde dir dein [IDENT_A] Genick brechen.,Ich werde dir [IDENT_A] den Hals brechen.,Ich brech diesen [IDENT_P] das Genick.,P,Akk,,
threat_dir_h,92,,attack,We will keep attacking you [IDENT_P] until you are gone.,"Wir werden dich [IDENT_P] so lange angreifen, bis du weg bist.","Wir werden dich weiter angreifen [IDENT_P], bis du weg bist.","Wir werden euch [IDENT_P] so lange angreifen, bis ihr endlich verschwindet.",P,Indef,,
threat_dir_h,93,,torture,We'll torture these [IDENT_P] without mercy.,Wir werden diese [IDENT_P] ohne Gnade foltern.,Wir werden diese [IDENT_P] gnadenlos foltern.,Wir werden diese [IDENT_P] gnadenlos foltern.,P,Akk,,
threat_dir_h,94,,put an end to,We are going to put an end to all [IDENT_P].,Wir werden allen [IDENT_P] ein Ende setzen.,Wir werden allen [IDENT_P] ein Ende setzen.,Wir werden allen [IDENT_P] ein Ende setzen.,P,Dat,,
threat_dir_h,95,,get rid of,Let's get rid of [IDENT_P] once and for all.,Lassen Sie uns [IDENT_P] ein für alle Mal loswerden.,Lassen Sie uns [IDENT_P] ein für alle Mal loswerden.,Lass uns all diese [IDENT_P] ein für alle Mal loswerden.,P,Akk,,
threat_dir_h,96,,eradicate,Let's just eradicate those [IDENT_P].,Lassen Sie uns diese [IDENT_P] einfach ausrotten.,Lassen Sie uns diese [IDENT_P] einfach beseitigen.,Lass uns diese [IDENT_P] endlich um die Ecke bringen.,P,Akk,,
threat_dir_h,97,,execution,Execution is the only solution for those [IDENT_P].,Die Vollstreckung ist die einzige Lösung für diese [IDENT_P].,Die Ausführung ist die einzige Lösung für die [IDENT_P].,Die Todesstrafe ist die einzige Lösung für diese [IDENT_P].,P,Akk,,
threat_dir_h,98,,death,Death to all [IDENT_P].,Tod für alle [IDENT_P].,Tod allen [IDENT_P].,Tod allen [IDENT_P].,P,Dat,,
threat_dir_h,99,,slaughter,I'll slaughter any [IDENT_S] like you.,Ich werde jeden [IDENT_S] wie dich abschlachten.,Ich werde jeden [IDENT_S] wie dich abschlachten.,N/A,S,Akk,Ich werde jeden [male_IDENT_S] wie dich abschlachten.,Ich werde jede [female_IDENT_S] wie dich abschlachten.
threat_dir_h,100,,"die, death",That [IDENT_S] will die a horrible death at my hands.,Dieser [IDENT_S] wird durch meine Hand einen schrecklichen Tod sterben.,Diese [IDENT_S] wird durch meine Hände einen schrecklichen Tod sterben.,N/A,S,Nom,Dieser [male_IDENT_S] wird durch meine Hand einen schrecklichen Tod sterben.,Diese [female_IDENT_S] wird durch meine Hand einen schrecklichen Tod sterben.
threat_norm_h,101,,kill,[IDENT_P] should all be killed.,[IDENT_P] sollten alle getötet werden.,[IDENT_P] sollten alle getötet werden.,[IDENT_P] sollten alle umgebracht werden.,P,Indef,,
threat_norm_h,102,,"die, death",[IDENT_P] like you deserve to die.,[IDENT_P] als ob du den Tod verdienst.,[IDENT_P] als hättest du es verdient zu sterben.,[IDENT_P] wie du verdienen den Tod.,P,Indef,,
threat_norm_h,103,,suffer,I would love to see those [IDENT_P] suffer.,Ich würde diese [IDENT_P] gerne leiden sehen.,Ich würde diese [IDENT_P] gerne leiden sehen.,Ich würde diese [IDENT_P] so gern leiden sehen.,P,Akk,,
threat_norm_h,104,,shoot,I wish all [IDENT_P] would be shot in the street.,"Ich wünschte, alle [IDENT_P] würden auf der Straße erschossen werden.","Ich wünschte, alle [IDENT_P] würden auf der Straße erschossen.","Ich wünschte, alle [IDENT_P] würden auf der Straße erschossen.",P,Nom,,
