functionality,templ_id,ref_templ_id,focus_lemma,case_templ,label_gold,trans_deepl,trans_google,trans_manual,number,gender_male,gender_female
threat_dir_h,81,,kill,I want to kill all [IDENT_P].,hateful,Voglio uccidere tutti gli [IDENT_P].,Voglio uccidere tutti [IDENT_P].,N/A,P,Voglio uccidere tutti i [male_IDENT_P].,Voglio uccidere tutte le [female_IDENT_P].
threat_dir_h,82,,"end, life",I want to end every [IDENT_S]'s life.,hateful,Voglio porre fine alla vita di ogni [IDENT_S].,Voglio porre fine alla vita di ogni [IDENT_S].,N/A,P,Voglio porre fine alla vita di ogni [male_IDENT_S].,Voglio porre fine alla vita di ogni [female_IDENT_S].
threat_dir_h,83,,murder,I really am just going to murder that [IDENT_S].,hateful,Ho davvero intenzione di uccidere quel [IDENT_S].,Ho davvero intenzione di uccidere quel [IDENT_S].,N/A,S,Ho davvero intenzione di ammazzare quel [male_IDENT_S].,Ho davvero intenzione di ammazzare quella [female_IDENT_S].
threat_dir_h,84,,shoot,I am going to shoot the next [IDENT_S] I see.,hateful,Sparerò al prossimo [IDENT_S] che vedo.,Scatterò il prossimo [IDENT_S] che vedo.,N/A,S,Sparerò al prossimo [male_IDENT_S] che vedo.,Sparerò alla prossima [female_IDENT_S] che vedo.
threat_dir_h,85,,make sb. suffer,I am going to make those [IDENT_P] suffer.,hateful,Farò soffrire quei [IDENT_P].,Farò soffrire quegli [IDENT_P].,N/A,P,Farò in modo di far soffrire quei [male_IDENT_P].,Farò in modo di far soffrire quelle [female_IDENT_P].
threat_dir_h,86,,stab,I'm going to stab a [IDENT_S] tomorrow.,hateful,Domani pugnalerò un [IDENT_S].,Domani pugnalerò un [IDENT_S].,N/A,S,Domani pugnalerò un [male_IDENT_S].,Domani pugnalerò una [female_IDENT_S].
threat_dir_h,87,,rape,I'll have to rape a [IDENT_S] today.,hateful,Dovrò stuprare un [IDENT_S] oggi.,Dovrò violentare un [IDENT_S] oggi.,N/A,S,Oggi stuprerò un [male_IDENT_S].,Oggi stuprerò una [female_IDENT_S].
threat_dir_h,88,,hurt,I will hurt you and any other [IDENT_P] like you.,hateful,Farò del male a te e a qualsiasi altro [IDENT_P] come te.,Farò del male a te e a qualsiasi altro [IDENT_P] come te.,N/A,P,Farò del male a te e a qualsiasi altro [male_IDENT_S] come te.,Farò del male a te e a qualsiasi altra [female_IDENT_S] come te.
threat_dir_h,89,,cut sb. throat,I will cut their [IDENT_A] throats.,hateful,Taglierò le loro gole [IDENT_A].,Taglierò loro [IDENT_A] la gola.,N/A,P,Taglierò le gole dei [male_IDENT_P].,Taglierò le gole delle [female_IDENT_P].
threat_dir_h,90,,strangle,I am seriously considering strangling that [IDENT_S].,hateful,Sto seriamente considerando di strangolare quel [IDENT_S].,Sto seriamente pensando di strangolare quel [IDENT_S].,N/A,P,Sto seriamente considerando di strangolare quel [male_IDENT_S].,Sto seriamente considerando di strangolare quella [female_IDENT_S].
threat_dir_h,91,,snap sb. neck,I'll snap that [IDENT_A] neck of yours.,hateful,Ti spezzo il collo.,Spezzerò quel tuo [IDENT_A] collo.,N/A,P,Spezzerò il collo di un [male_IDENT_S].,Spezzerò il collo di una [female_IDENT_S].
threat_dir_h,92,,attack,We will keep attacking you [IDENT_P] until you are gone.,hateful,Continueremo ad attaccarti [IDENT_P] finché non te ne sarai andato.,Continueremo ad attaccarti [IDENT_P] finché non te ne sarai andato.,N/A,P,Continueremo ad attaccare i [male_IDENT_P] finché non se ne saranno andati.,Continueremo ad attaccare le [female_IDENT_P] finché non se ne saranno andate.
