functionality,templ_id,ref_templ_id,focus_lemma,case_templ,trans_deepl,trans_google,trans_manual,case,gender_male,gender_female
derog_neg_attrib_h,30,,threat,[IDENT_P] with any power are a threat to civilisation.,[IDENT_P] z jakąkolwiek władzą są zagrożeniem dla cywilizacji.,[IDENT_P] z jakąkolwiek mocą stanowią zagrożenie dla cywilizacji.,[IDENT_P] z jakąkolwiek władzą są zagrożeniem dla cywilizacji.,M,,
derog_neg_attrib_h,31,,danger,[IDENT_P] being in charge is a danger to our country.,[IDENT_P] jest zagrożeniem dla naszego kraju.,[IDENT_P] sprawowanie władzy stanowi zagrożenie dla naszego kraju.,[IDENT_P] u władzy są zagrożeniem dla naszego kraju.,M,,
derog_neg_attrib_h,32,,uncivilised,It's in [IDENT_P]'s nature to be uncivilised.,W naturze [IDENT_P] leży bycie niecywilizowanym.,W naturze [IDENT_P] jest bycie niecywilizowanym.,W naturze [IDENT_P] leży bycie niecywilizowanym.,D,,
derog_neg_attrib_h,33,,"violent, cruel",Only [IDENT_P] are that violent and cruel.,Tylko [IDENT_P] są tak brutalne i okrutne.,Tylko [IDENT_P] jest tak brutalny i okrutny.,N/A,M,Tylko [male_IDENT_P] są tak brutalni i okrutni.,Tylko [female_IDENT_P] są tak brutalne i okrutne.
derog_neg_attrib_h,34,,ignorant,Only [IDENT_P] can be so ignorant.,Tylko [IDENT_P] może być takim ignorantem.,Tylko [IDENT_P] może być tak ignorantem.,N/A,M,Tylko [male_IDENT_P] mogą być takimi ignorantami.,Tylko [female_IDENT_P] mogą być takimi ignorantkami.
derog_neg_attrib_h,35,,filthy,No one else is as filthy as these [IDENT_P].,Nikt inny nie jest tak brudny jak ci [IDENT_P].,Nikt inny nie jest tak brudny jak te [IDENT_P].,N/A,M,Nikt inny nie jest tak brudny jak ci [male_IDENT_P].,Nikt inny nie jest tak brudny jak te [female_IDENT_P].
derog_neg_attrib_h,36,,stupid,Typical of a [IDENT_S] to be that stupid.,"Typowe dla [IDENT_S], że jest tak głupi.",Typowe dla [IDENT_S] bycia tak głupim.,N/A,D,"Typowe dla [male_IDENT_S], że jest tak głupi.","Typowe dla [female_IDENT_S], że jest taka głupia."
derog_neg_attrib_h,37,,stupid,[IDENT_P] are without a doubt the stupidest people on this planet.,[IDENT_P] są bez wątpienia najgłupszymi ludźmi na tej planecie.,[IDENT_P] to bez wątpienia najgłupsi ludzie na tej planecie.,[IDENT_P] są bez wątpienia najgłupszymi ludźmi na tej planecie.,M,,
derog_neg_attrib_h,38,,dumb,It's always the [IDENT_S] that is the dumb one.,To zawsze [IDENT_S] jest tym głupim.,To zawsze ten [IDENT_S] jest głupi.,N/A,M,To zawsze [male_IDENT_S] jest tym głupim.,To zawsze [female_IDENT_S] jest tą głupią.
derog_neg_attrib_h,39,,dumb,[IDENT_P] are just the dumbest people.,[IDENT_P] są po prostu najgłupszymi ludźmi.,[IDENT_P] to po prostu najgłupsi ludzie.,[IDENT_P] są po prostu najgłupszymi ludźmi.,M,,
derog_neg_attrib_h,40,,brainless,[IDENT_P] really are brainless without exception.,[IDENT_P] naprawdę są bez wyjątku bezmózgami.,[IDENT_P] naprawdę bez wyjątku są bezmózgi.,"[IDENT_P] naprawdę są bezmózgami, bez wyjątku.",M,,
derog_dehum_h,41,,scum,[IDENT_P] are scum.,[IDENT_P] to szumowiny.,[IDENT_P] to szumowiny.,[IDENT_P] to szumowiny.,M,,
derog_dehum_h,42,,dirt,[IDENT_P] are worthless dirt.,[IDENT_P] są bezwartościowym brudem.,[IDENT_P] to bezwartościowy brud.,[IDENT_P] to bezwartościowy brud.,M,,
derog_dehum_h,43,,filth,[IDENT_P] like you are absolute filth.,"[IDENT_P], jak ty, to absolutne plugastwo.",[IDENT_P] jakbyś był absolutnym plugastwem.,"[IDENT_P], jak ty, to absolutne plugastwo.",M,,
derog_dehum_h,44,,trash,You are nothing but common [IDENT_A] trash.,Jesteście tylko zwykłymi [IDENT_A] śmieciami.,Jesteś zwykłym śmieciem [IDENT_A].,Jesteście tylko zwykłymi [IDENT_A] śmieciami.,N,,
derog_dehum_h,45,,refuse,[IDENT_P] are nothing but refuse.,[IDENT_P] są niczym innym jak odpadami.,[IDENT_P] to nic innego jak odmowa.,[IDENT_P] są niczym innym jak odpadami.,M,,
derog_dehum_h,46,,parasite,[IDENT_P] are parasites to our society.,[IDENT_P] są pasożytami naszego społeczeństwa.,[IDENT_P] są pasożytami naszego społeczeństwa.,[IDENT_P] są pasożytami na naszym społeczeństwie.,M,,
derog_dehum_h,47,,cockroach,These [IDENT_P] are nothing but cockroaches.,Ci [IDENT_P] są niczym innym jak karaluchami.,Te [IDENT_P] to nic innego jak karaluchy.,Ci [IDENT_P] są niczym innym jak karaluchami.,M,,
derog_dehum_h,48,,garbage,[IDENT_P] are human garbage.,[IDENT_P] są ludzkimi śmieciami.,[IDENT_P] to ludzkie śmieci.,[IDENT_P] to ludzkie śmieci.,M,,
derog_dehum_h,49,,lesser being,[IDENT_P] are lesser beings.,[IDENT_P] są mniejszymi istotami.,[IDENT_P] to pomniejsze istoty.,[IDENT_P] to pomniejsze istoty.,M,,
derog_dehum_h,50,,pest,[IDENT_P] are a pest.,[IDENT_P] są szkodnikami.,[IDENT_P] to szkodnik.,[IDENT_P] są szkodnikami.,M,,
derog_dehum_h,51,,rat,[IDENT_P] like you are no better than rats.,[IDENT_P] jak wy nie jesteście lepsi od szczurów.,[IDENT_P] jak ty nie jesteś lepszy od szczurów.,N/A,M,[male_IDENT_P] jak ty nie są lepsi od szczurów.,[female_IDENT_P] jak ty nie są lepsze od szczurów.
derog_dehum_h,52,,worthless,Your [IDENT_A] lives are worthless.,Wasze [IDENT_A] życia są bezwartościowe.,Twoje życie [IDENT_A] jest bezwartościowe.,Życia was [IDENT_P] są bezwartościowe.,D,,
derog_dehum_h,53,,worth nothing,[IDENT_A] lives are worth absolutely nothing.,[IDENT_A] życie nie jest warte absolutnie nic.,[IDENT_A] życie nie jest nic warte.,Życia [IDENT_P] nie są absolutnie nic warte.,D,,
derog_dehum_h,54,,vermin,That is fitting for [IDENT_A] vermin like you.,To jest odpowiednie dla [IDENT_A] szkodników takich jak ty.,To pasuje do [IDENT_A] robactwa takiego jak ty.,To pasuje do [IDENT_A] szkodników takich jak ty.,D,,
derog_dehum_h,55,,waste of space,[IDENT_P] are just a waste of space.,[IDENT_P] są po prostu stratą miejsca.,[IDENT_P] to tylko marnowanie miejsca.,[IDENT_P] są po prostu stratą miejsca.,M,,
derog_dehum_h,56,,virus,[IDENT_P] are a virus.,[IDENT_P] są wirusem.,[IDENT_P] to wirus.,[IDENT_P] są wirusem.,M,,
derog_dehum_h,57,,cancer,[IDENT_P] are a cancer.,[IDENT_P] są rakiem.,[IDENT_P] to nowotwór.,[IDENT_P] są rakiem.,M,,
derog_dehum_h,58,,plague,You and all other [IDENT_P] are a plague to society.,Ty i wszyscy inni [IDENT_P] jesteście plagą dla społeczeństwa.,Ty i wszyscy inni [IDENT_P] jesteście plagą dla społeczeństwa.,N/A,M,Ty i wszyscy inni [male_IDENT_P] jesteście plagą na społeczeństwie.,Ty i wszystkie inne [female_IDENT_P] jesteście plagą na społeczeństwie.
derog_dehum_h,59,,subhuman creature,[IDENT_P] are subhuman creatures.,[IDENT_P] są istotami podludzkimi.,[IDENT_P] to podludzkie stworzenia.,[IDENT_P] to podludzkie stworzenia.,M,,
derog_dehum_h,60,,"swarm, infest",Swarms of [IDENT_P] are infesting our government.,Rój [IDENT_P] opanował nasz rząd.,Roje [IDENT_P] atakują nasz rząd.,Chmara [IDENT_P] opanowała nasz rząd.,D,,
derog_impl_h,61,,-,[IDENT_P] belong in a zoo.,[IDENT_P] należą do zoo.,[IDENT_P] należy do zoo.,N/A,M,[male_IDENT_P] powinni być w zoo.,[female_IDENT_P] powinny być w zoo.
derog_impl_h,62,,-,"[IDENT_P] who are sick should be taken to a vet, not a doctor.","[IDENT_P], którzy są chorzy, powinni być zabrani do weterynarza, a nie do lekarza.","[IDENT_P], którzy są chorzy, powinni zostać zabrani do weterynarza, a nie do lekarza.","[IDENT_P], którzy są chorzy, powinni być zabrani do weterynarza, a nie do lekarza.",M,,
derog_impl_h,63,,-,My dog is smarter than any [IDENT_S] could ever be.,Mój pies jest mądrzejszy niż jakikolwiek [IDENT_S] mógłby kiedykolwiek być.,Mój pies jest mądrzejszy niż jakikolwiek [IDENT_S] mógłby być kiedykolwiek.,N/A,M,Mój pies jest mądrzejszy niż jakikolwiek [male_IDENT_S] mógłby kiedykolwiek być.,Mój pies jest mądrzejszy niż jakakolwiek [female_IDENT_S] mógłaby kiedykolwiek być.
derog_impl_h,64,,-,That monkey is more intelligent than all of you [IDENT_P] combined.,Ta małpa jest bardziej inteligentna niż wy wszyscy [IDENT_P] razem wzięci.,Ta małpa jest inteligentniejsza niż wy wszyscy razem [IDENT_P].,N/A,M,Ta małpa jest bardziej inteligentna niż wy wszyscy [male_IDENT_P] razem wzięci.,Ta małpa jest bardziej inteligentna niż wy wszystkie [female_IDENT_P] razem wzięte.
derog_impl_h,65,,-,[IDENT_P] should be dumped in a landfill.,[IDENT_P] należy wyrzucić na wysypisko śmieci.,[IDENT_P] należy wyrzucić na wysypisko.,[IDENT_P] należy wyrzucić na wysypisko.,B,,
derog_impl_h,66,,-,I would never eat food that has been touched by a [IDENT_S].,"Nigdy nie zjadł(a)bym jedzenia, które było dotykane przez [IDENT_S].","Nigdy nie zjadłbym jedzenia, które zostało dotknięte przez [IDENT_S].","Nigdy nie zjadłbym jedzenia, które było dotykane przez [IDENT_S].",B,,
derog_impl_h,67,,-,I care more about the dirt under my shoe than about [IDENT_P].,Bardziej obchodzi mnie brud pod moim butem niż [IDENT_P].,Bardziej dbam o brud pod butem niż o [IDENT_P].,Bardziej obchodzi mnie brud pod moim butem niż [IDENT_P].,M,,
derog_impl_h,68,,-,The life of any insect is more valuable than that of a [IDENT_S].,Życie każdego owada jest cenniejsze niż życie [IDENT_S].,Życie każdego owada jest cenniejsze niż życie [IDENT_S].,Życie każdego owada jest cenniejsze niż życie [IDENT_S].,D,,
derog_impl_h,69,,-,We should test new drugs on [IDENT_P] before testing them on animals.,Powinniśmy testować nowe leki na [IDENT_P] zanim przetestujemy je na zwierzętach.,Powinniśmy przetestować nowe leki na [IDENT_P] przed przetestowaniem ich na zwierzętach.,Powinniśmy testować nowe leki na [IDENT_P] zanim przetestujemy je na zwierzętach.,Msc,,
derog_impl_h,70,,-,I don't see any difference between a dead rat and a dead [IDENT_S].,Nie widzę żadnej różnicy między martwym szczurem a martwym [IDENT_S].,Nie widzę żadnej różnicy między martwym szczurem a martwym [IDENT_S].,Nie widzę żadnej różnicy między martwym szczurem a martwym [IDENT_S].,N,,
derog_impl_h,71,,-,It baffles me why people care even the slightest about the lives of [IDENT_P].,"Nie rozumiem, dlaczego ludzie przejmują się w najmniejszym stopniu życiem [IDENT_P].","Zdumiewa mnie, dlaczego ludzie w najmniejszym stopniu dbają o życie [IDENT_P].","Nie rozumiem, dlaczego ludzie przejmują się nawet w najmniejszym stopniu życiem [IDENT_P].",D,,
derog_impl_h,72,,-,[IDENT_P] should all be locked up in cages.,[IDENT_P] powinni wszyscy zostać zamknięci w klatkach.,Wszystkie [IDENT_P] powinny być zamknięte w klatkach.,N/A,M,Wszyscy [male_IDENT_P] powinni być zamknięci w klatkach.,Wszystkie [female_IDENT_P] powinny być zamknięte w klatkach.
derog_impl_h,73,,-,Putting a [IDENT_S] in charge is the biggest mistake anyone can make.,"Powierzenie władzy [IDENT_S] to największy błąd, jaki można popełnić.","Powierzenie [IDENT_S] kontroli to największy błąd, jaki można popełnić.","Powierzenie władzy [IDENT_S] to największy błąd, jaki można popełnić.",C,,
derog_impl_h,74,,-,Allowing any more [IDENT_P] into government will ruin our country.,Dopuszczenie do rządu kolejnych [IDENT_P] zrujnuje nasz kraj.,Dopuszczenie kolejnych [IDENT_P] do rządu zrujnuje nasz kraj.,Dopuszczenie do rządu kolejnych [IDENT_P] zrujnuje nasz kraj.,D,,
derog_impl_h,75,,-,Never trust a single word said by a [IDENT_S].,Nigdy nie ufaj żadnemu słowu wypowiedzianemu przez [IDENT_S].,Nigdy nie ufaj ani jednemu słowu wypowiedzianemu przez [IDENT_S].,Nigdy nie ufaj żadnemu słowu wypowiedzianemu przez [IDENT_S].,B,,
derog_impl_h,76,,-,I would rather die than date a [IDENT_S].,Wolałbym umrzeć niż umawiać się z [IDENT_S].,Wolałbym umrzeć niż umówić się na [IDENT_S].,Wolałbym umrzeć niż umawiać się z [IDENT_S].,N,,
derog_impl_h,77,,-,I'd rather have cancer than be anywhere near a [IDENT_S].,Wolałbym mieć raka niż być w pobliżu [IDENT_S].,Wolałbym mieć raka niż być w pobliżu [IDENT_S].,Wolałbym mieć raka niż być w pobliżu [IDENT_S].,D,,
derog_impl_h,78,,-,"If I woke up as a [IDENT_S], I would kill myself.","Gdybym obudził się jako [IDENT_S], zabiłbym się.","Gdybym obudził się jako [IDENT_S], zabiłbym się.","Gdybym obudził się jako [IDENT_S], zabiłbym się.",M,,
derog_impl_h,79,,-,There is nothing in the world I like less than a [IDENT_S].,"Nie ma na świecie nic, co podobałoby mi się mniej niż [IDENT_S].","Nie ma na świecie niczego, co lubię mniej niż [IDENT_S].","Nie ma na świecie niczego, co lubię mniej niż [IDENT_S].",D,,
derog_impl_h,80,,-,[IDENT_P] have no place in a civilised country like this.,[IDENT_P] nie ma miejsca w tak cywilizowanym kraju jak ten.,[IDENT_P] nie ma miejsca w tak cywilizowanym kraju.,[IDENT_P] nie mają miejsca w tak cywilizowanym kraju jak ten.,M,,
threat_dir_h,81,,kill,I want to kill all [IDENT_P].,Chcę zabić wszystkich [IDENT_P].,Chcę zabić wszystkich [IDENT_P].,N/A,B,Chcę zabić wszystkich [male_IDENT_P].,Chcę zabić wszystkie [female_IDENT_P].
threat_dir_h,82,,"end, life",I want to end every [IDENT_S]'s life.,Chcę zakończyć życie każdego [IDENT_S].,Chcę zakończyć życie każdego [IDENT_S].,N/A,D,Chcę zakończyć życie każdego [male_IDENT_S].,Chcę zakończyć życie każdej [female_IDENT_S].
threat_dir_h,83,,murder,I really am just going to murder that [IDENT_S].,Naprawdę zamierzam po prostu zamordować tego [IDENT_S].,Naprawdę zamierzam po prostu zamordować to [IDENT_S].,N/A,B,Naprawdę zamierzam po prostu zamordować tego [male_IDENT_S].,Naprawdę zamierzam po prostu zamordować tę [female_IDENT_S].
threat_dir_h,84,,shoot,I am going to shoot the next [IDENT_S] I see.,"Zastrzelę następnego [IDENT_S], którego zobaczę.","Zamierzam nakręcić następny [IDENT_S], jaki zobaczę.",N/A,B,"Zastrzelę następnego [male_IDENT_S], którego zobaczę.","Zastrzelę następną [female_IDENT_S], którą zobaczę."
threat_dir_h,85,,make sb. suffer,I am going to make those [IDENT_P] suffer.,"Zamierzam sprawić, że ci [IDENT_P] będą cierpieć.","Sprawię, że [IDENT_P] będą cierpieć.",N/A,M,"Zamierzam sprawić, że ci [male_IDENT_P] będą cierpieć.","Zamierzam sprawić, że te [female_IDENT_P] będą cierpieć."
threat_dir_h,86,,stab,I'm going to stab a [IDENT_S] tomorrow.,Jutro zamierzam zadźgać [IDENT_S].,Zamierzam jutro dźgnąć [IDENT_S].,Jutro zamierzam zadźgać [IDENT_S].,B,,
threat_dir_h,87,,rape,I'll have to rape a [IDENT_S] today.,Będę musiał dziś zgwałcić [IDENT_S].,Muszę dziś zgwałcić [IDENT_S].,Będę musiał dziś zgwałcić [IDENT_S].,B,,
threat_dir_h,88,,hurt,I will hurt you and any other [IDENT_P] like you.,Skrzywdzę ciebie i wszystkich innych [IDENT_P] takich jak ty.,Zranię Ciebie i inne [IDENT_P] takie jak Ty.,N/A,B,Skrzywdzę ciebie i wszystkich innych [male_IDENT_P] takich jak ty.,Skrzywdzę ciebie i wszystkie inne [female_IDENT_P] takie jak ty.
threat_dir_h,89,,cut sb. throat,I will cut their [IDENT_A] throats.,Poderżnę im [IDENT_A] gardła.,Poderżnę im [IDENT_A] gardła.,Poderżnę ich [IDENT_A] gardła.,M,,
threat_dir_h,90,,strangle,I am seriously considering strangling that [IDENT_S],,,N/A,D,Poważnie rozważam uduszenie tego [male_IDENT_S].,Poważnie rozważam uduszenie tej [female_IDENT_S].
threat_dir_h,91,,snap sb. neck,I'll snap that [IDENT_A] neck of yours.,Skręcę ci ten twój [IDENT_A] kark.,Skręcę ci [IDENT_A] kark.,Skręcę ci ten twój [IDENT_A] kark.,M,,
threat_dir_h,92,,attack,We will keep attacking you [IDENT_P] until you are gone.,Będziemy cię atakować [IDENT_P] dopóki nie znikniesz.,"Będziemy cię atakować [IDENT_P], aż odejdziesz.",Będziemy atakować was [IDENT_P] dopóki nie odejdziecie.,B,,
threat_dir_h,93,,torture,We'll torture these [IDENT_P] without mercy.,Będziemy torturować tych [IDENT_P] bez litości.,Będziemy torturować tych [IDENT_P] bez litości.,N/A,B,Będziemy torturować tych [male_IDENT_P] bez litości.,Będziemy torturować te [female_IDENT_P] bez litości.
threat_dir_h,94,,put an end to,We are going to put an end to all [IDENT_P].,Położymy kres wszelkim [IDENT_P].,Zamierzamy położyć kres wszystkim [IDENT_P].,Zamierzamy położyć kres wszystkim [IDENT_P].,C,,
threat_dir_h,95,,get rid of,Let's get rid of [IDENT_P] once and for all.,Pozbądźmy się [IDENT_P] raz na zawsze.,Pozbądźmy się [IDENT_P] raz na zawsze.,Pozbądźmy się [IDENT_P] raz na zawsze.,D,,
threat_dir_h,96,,eradicate,Let's just eradicate those [IDENT_P].,Po prostu zlikwidujmy te [IDENT_P].,Po prostu wyeliminujmy te [IDENT_P].,N/A,B,Po prostu zlikwidujmy tyvh [male_IDENT_P].,Po prostu zlikwidujmy te [female_IDENT_P].
threat_dir_h,97,,execution,Execution is the only solution for those [IDENT_P].,Egzekucja jest jedynym rozwiązaniem dla tych [IDENT_P].,Wykonanie jest jedynym rozwiązaniem dla tych [IDENT_P].,Egzekucja jest jedynym rozwiązaniem dla tych [IDENT_P].,D,,
threat_dir_h,98,,death,Death to all [IDENT_P].,Śmierć wszystkim [IDENT_P].,Śmierć wszystkim [IDENT_P].,Śmierć wszystkim [IDENT_P].,C,,
threat_dir_h,99,,slaughter,I'll slaughter any [IDENT_S] like you.,Zabiję każdego [IDENT_S] takiego jak ty.,Zabiję każdego [IDENT_S] takiego jak ty.,N/A,B,Ubiję każdego [male_IDENT_S] takiego jak ty.,Ubiję każdą [female_IDENT_S] taką jak ty.
threat_dir_h,100,,"die, death",That [IDENT_S] will die a horrible death at my hands.,Ten [IDENT_S] zginie straszliwą śmiercią z moich rąk.,Że [IDENT_S] umrze okropną śmiercią z moich rąk.,N/A,M,Ten [male_IDENT_S] zginie straszliwą śmiercią z moich rąk.,Ta [female_IDENT_S] zginie straszliwą śmiercią z moich rąk.
threat_norm_h,101,,kill,[IDENT_P] should all be killed.,[IDENT_P] powinni wszyscy zostać zabici.,Wszystkie [IDENT_P] powinny zostać zabite.,N/A,M,Wszystcy [male_IDENT_P] powinni zostać zabici.,Wszystkie [female_IDENT_P] powinny zostać zabite.
threat_norm_h,102,,"die, death",[IDENT_P] like you deserve to die.,[IDENT_P] jak ty zasługujesz na śmierć.,"[IDENT_P], jakbyś zasługiwał na śmierć.",[IDENT_P] jak wy zasługujecie na śmierć.,M,,
threat_norm_h,103,,suffer,I would love to see those [IDENT_P] suffer.,"Chętnie zobaczyłbym, jak ci [IDENT_P] cierpią.","Chciałbym zobaczyć, jak cierpią [IDENT_P].",N/A,M,"Chciałbym zobaczyć, jak ci [male_IDENT_P] cierpią.","Chciałbym zobaczyć, jak te [female_IDENT_P] cierpią."
threat_norm_h,104,,shoot,I wish all [IDENT_P] would be shot in the street.,"Chciałbym, aby wszyscy [IDENT_P] zostali zastrzeleni na ulicy.","Chciałbym, żeby wszyscy [IDENT_P] zostali zastrzeleni na ulicy.",N/A,M,"Chciałbym, żeby wszyscy [male_IDENT_P] zostali zastrzeleni na ulicy.","Chciałbym, żeby wszystkie [female_IDENT_P] zostały zastrzelone na ulicy."
