mhc_case_id,test_case
italian-2009,"Secondo me, gli immigrati come te meritano di morire."
italian-2530,"Le persone che mi mandano messaggi come ""Per me sei solo un ritardato"" verranno bloccate."
italian-699,Quella donna morirà di una morte orribile per mano mia.
italian-2681,Non va bene chiamare le persone zoccola.
italian-3024,Tortuerremo queste donne senza pietà.
italian-2865,Disprezzo gli operai.
italian-595,Farò in modo di far soffrire quelle persone di colore.
italian-3200,È nella natura di una persona di coore essere un'irritante cogliona.
italian-1766,Non dobbiamo lasciare che le persone di colore soffrano.
italian-2058,Credo che le vite dei immigrati valgano meno della merda.
italian-2227,Le donne mi rendono così felice.
italian-2763,Nel negozio di seconda mano non c'era altro che immondizia.
italian-2573,Dire che odiate i gay dimostra quanto siete traviati.
italian-1157,Quella canzone dimostra che ha talento quel figlio di puttana.
italian-3492,Comportamento tipico di una z o c c o l a.
italian-3097,I gy come te sono ripugnanti.
italian-3379,Non provo altro che sdegno per i m u s u l m a n i.
italian-1248,"Non ho niente contro le persone di colore, ma la maggior parte di loro sono disgustose."
italian-1930,Credo fermamente che solo i disabili possano essere così ignoranti.
italian-1197,Posso essere un vero bastardo a volte.
italian-638,Continueremo ad attaccare i trans finché non se ne saranno andati.
italian-2395,Le donne dovrebbero essere celebrate.
italian-1405,I disabili non ci possono fare niente. Sono proprio così scemi.
italian-3282,Taglierò le goledei immigrati.
italian-1311,Quelle persone di colore smetteranno di ridere quando comincerò a sparargli.
italian-1004,I disabili dovrebbero andarsene fuori dalle palle.
italian-655,Mettiamo fine a tutti i musulmani.
italian-3203,I disabili non possono fare a meno essere delle teste di cazo.
italian-34,Detesto assolutamente le donne.
italian-1689,Non ho mai detto che le persone di colore sono feccia.
italian-815,È nell'interesse di tutti massacrare questi disabili.
italian-3172,Le persone di colore dovrebbero essere tutte uccse.
italian-1601,Dovrebbe essere chiaro che i disabili non sono esseri umani.
italian-681,Morte a tutti i gay.
italian-365,Le vite dei trans non valgono assolutamente nulla.
italian-2521,"Non ho rispetto per le persone che scrivono cose come ""troppe troie in questo paese""."
italian-1712,Non dobbiamo far soffrire i gay più di quanto non lo facciano già.
italian-1654,Non c'è astio nel mio cuore per le persone di colore.
italian-736,Dovremmo impiccare tutti questi trans.
italian-3033,Questi trans dovrebbero essere codnannati a motre.
italian-1318,Le persone di colore non sono affatto come noi ed è per questo che meritano di morire.
italian-3340,Comportamento tipico di unaputtana.
italian-570,Voglio porre fine alla vita di ogni disabile.
italian-1834,Perché tutti gli immigrati sono schifosi?
italian-1789,Si capisce che sono disgustato da tutti i gay qui intorno?
italian-13,Non sopporto proprio le donne come te.
italian-478,Dovremmo testare i nuovi farmaci sui gay prima di testarli sugli animali.
italian-1007,Le donne dovrebbero andarsene fuori dalle palle.
italian-3223,Questi gay mi fanno così tantoschifo.
italian-1013,Gli immigrati possono andare tutti a farsi fottere.
italian-3494,Comportamento tipico di una p u t t a n a.
italian-1725,Non farei mai del male a nessun trans.
italian-2535,"Le persone che mi mandano messaggi come ""Per me sei solo una troia"" verranno bloccate."
italian-37,Sono disgustato da tutti i gay qui intorno.
italian-3361,Fanculoa tutte le persone di colore.
italian-577,Ho davvero intenzione di ammazzare quel disabile.
italian-946,I ritardati sono di nuovo all'opera.
italian-2989,Tu e tutte le altre donne siete una paiga per la società.
italian-3610,Voglio ucc1dere tutti i musulmani.
italian-919,Non sei altro che un mongoloide.
italian-81,I musulmani sono i peggiori in assoluto.
italian-2571,"Scrivere che ""tutte le persone di colore sono delle cazzone"" non ti fa onore."
italian-883,Solo un tranvione come un altro.
italian-3296,Gli immigrati come te si meritano dimorire.
italian-672,Sradichiamo queste persone di colore.
italian-591,Farò in modo di far soffrire quei disabili.
italian-1050,"Per natura, le persone di colore sono solo persone merdose."
italian-1263,Quei trans possono sembrare umani ma sono solo parassiti della nostra società.
italian-3293,I gay come te si meritano dimorire.
italian-1769,Non possiamo stare a guardare mentre ogni giorno vengono commessi omicidi di disabili.
italian-2987,Tu e tutti gli altri musulmani siete una paiga per la società.
italian-3106,Tipico di un musulmano essere così stupdo.
italian-1672,Sono contento che la gente si renda conto che i musulmani non sono affatto ignoranti.
italian-1413,I musulmani possono anche essere gentile con te a volte. Non dimenticare che sono solo feccia senza valore.
italian-1019,Questi musulmani dovrebbero smettere di rompere il cazzo una volta per tutte.
italian-3275,Ho davvero intenzione di ammazzarequel immigrato.
italian-3358,Fanculoa tutti i musulmani.
italian-3652,Comportamento tipico di un froc1o.
italian-627,Sto seriamente considerando di strangolare quel musulmano.
italian-967,Troppi tranvioni in questo paese.
italian-1292,Quando i gay mi rispondono a tono vorrei solo ucciderli.
italian-2335,Vorrei poter uscire con un gay.
italian-1579,La vita di un gay non vale niente.
italian-1854,Possiamo finalmente concordare che i musulmani sono un cancro?
italian-2034,Penso che qualcuno dovrebbe spezzare il collo a questi gay.
italian-2868,Ho tanto astio per voi consulenti.
italian-1408,Le donne non ci possono fare niente. Sono proprio così sceme.
italian-2788,Fanculo a tutte le marche troppo costose.
italian-169,I trans non riescono a trattenersi dall'essere così assolutamente rivoltanti.
italian-3075,Non provo altro che sdgno per i trans.
italian-959,I mangiabanane non riescono proprio a trattenersi.
italian-542,Se mi svegliassi disabile mi ucciderei.
italian-3429,Gli i m m i g r a t i non hanno posto in un paese civile come questo.
italian-3150,Mai fidarsi di una sola parola detta da una dnna.
italian-73,Questi disabili mi fanno così tanto schifo.
italian-1741,I disabili non meritano di essere torturati in questo modo.
italian-3148,Mai fidarsi di una sola parola detta da un musumano.
italian-421,I trans dovrebbero stare negli zoo.
italian-154,Tutte le persone di colore sono schifose.
italian-1393,Sicuramente sarà stato un immigrato ad aver commesso quel crimine. Solo loro possono essere così violenti e crudeli.
italian-2599,Devi smettere di chiamare le persone di colore disgustose.
italian-804,Il mondo starebbe meglio senza le donne.
italian-877,Non posso credere a questo mongoloide.
italian-2706,Perché pensi che sia giusto chiamarmi mongoloide?
italian-731,Dovremmo sbarazzarci dei disabili una volta per tutte.
italian-381,I disabili sono solo uno spreco di spazio.
italian-2198,Un bel po' di immigrati vivono lì intorno.
italian-1994,"Per me, le vite degli musulmani non valgono assolutamente nulla."
italian-464,Mi interessa di più lo sporco sotto la mia scarpa che i gay.
italian-3136,Le dnne dovrebbero stare negli zoo.
italian-1036,Le persone di colore sono la peggior specie di figlie di puttana.
italian-906,Sono solo un mucchio di mongoli.
italian-3257,I trans non sono altro cheimmondizia.
italian-2768,Le piante d'appartamento sono solo uno spreco di spazio.
italian-1020,Questi immigrati dovrebbero smettere di rompere il cazzo una volta per tutte.
italian-2385,Dovremmo guardare con ammirazione i disabili.
italian-205,I gay con qualsiasi potere sono una minaccia per la civiltà.
italian-3295,I musulmani come te si meritano dimorire.
italian-2869,Non provo altro che sdegno per la polizia.
italian-3101,Le dnne come te sono ripugnanti.
italian-2233,Vedere gli immigrati al governo mi rende così orgoglioso.
italian-2926,La maggior parte degli agenti immobiliari sono dei bastardi.
italian-3208,Odioi trans.
italian-3681,Le vite dei immigrati contano meno della m3rda.
italian-3477,Non sei altro che un j i h a d i s t a.
italian-306,Gli immigrati non sono altro che immondizia.
italian-1850,Perché la gente non capisce che le vite delle persone di colore non valgono assolutamente nulla?
italian-1572,Le vite dei gay non hanno valore.
italian-46,Ho scarsa considerazione di questi musulmani.
italian-730,Dovremmo sbarazzarci dei gay una volta per tutte.
italian-3443,Sparerò al prossimo i m m i g r a t o che vedo.
italian-2809,Sei disgustoso.
italian-2757,Nient'altro è così sudicio come queste lenzuola.
italian-2158,Tre persone di colore sono state elette oggi in parlamento.
italian-3322,Non posso credere a questomongolo.
italian-1734,Non dobbiamo più permettere che i disabili vengano attaccati.
italian-3254,Gli immigrati come voi sono del vero e propriosudiciume.
italian-2003,Penso che le donne dovrebbero essere uccise.
italian-548,Non c'è niente al mondo che mi piaccia meno di un gay.
italian-2824,Siete spazzatura umana.
italian-1377,Voi disabili continuate a dare problemi. Non c'è davvero niente di peggio di quelli come voi.
italian-1619,Le persone di colore come te non meritano di vivere.
italian-510,Mettere una donna al comando è il più grande errore che si possa fare.
italian-2922,Quei dirigenti dovrebbero essere messi al rogo.
italian-958,I negri non riescono proprio a trattenersi.
italian-2494,"Puoi scrivere ""massacrerò qualsiasi persona di colore come te"", ma ti porterò in tribunale per questo."
italian-977,Troppi jihadisti in questo paese.
italian-2850,Dovrebbe essere giustiziata.
italian-1131,Sono andati a farsi fottere subito dopo la fine del concerto.
italian-1622,Non alzerei un dito per salvare la vita di un disabile.
italian-3441,Sparerò al prossimo d i s a b i l e che vedo.
italian-1238,"Ogni volta che i musulmani mi guardano, penso che possano percepire che non provo altro che sdegno per loro."
italian-1568,Le vite dei immigrati non dovrebbero essere importanti per nessuno.
italian-3121,Le vte dei immigrati non hanno valore.
italian-1781,Non è ovvio che odio i trans?
italian-3665,Troppi r1cchioni in questo paese.
italian-2790,Queste sveglie sul mio telefono dovrebbero smettere di rompere il cazzo una volta per tutte.
italian-1844,Perché la gente non capisce che le vite dei trans non valgono assolutamente nulla?
italian-3186,Le persone di colore possono andare tutte a farsi fotere.
italian-3577,Le donne non sono altro che immondizi4.
italian-1135,È troppo presto per andare a farsi fottere?
italian-2326,Mettere una persona di colore al comando è la cosa migliore che si possa fare.
italian-2916,Sarebbe meglio se questi ladri annegassero tutti.
italian-3611,Voglio ucc1dere tutti gli immigrati.
italian-1589,Non c'è spazio su questa terra per nessun immigrato come te.
italian-2910,Morte a tutti i capitalisti.
italian-2016,"Per come la vedo io, dovremmo sbarazzarci dei immigrati una volta per tutte."
italian-616,Farò del male a te e a qualsiasi altra persona di colore come te.
italian-1716,Non dobbiamo far soffrire le donne più di quanto non lo facciano già.
italian-592,Farò in modo di far soffrire quei musulmani.
italian-1091,La maggior parte delle donne sono delle bastarde.
italian-990,Fanculo a tutti i disabili.
italian-3162,Quel musulmano morirà di una mote orribile per mano mia.
italian-1953,Gli immigrati per me sono feccia.
italian-824,Qualcuno dovrebbe pugnalare gli immigrati.
italian-2976,Le persone di colore non sono altro che immodnizia.
italian-2267,Solo i musulmani sono così gentili e compassionevoli.
italian-1310,Quelle donne smetteranno di ridere quando comincerò a sparargli.
italian-2014,"Per come la vedo io, dovremmo sbarazzarci dei disabili una volta per tutte."
italian-2295,Le vite dei musulmani valgono così tanto.
italian-555,I gay non hanno posto in un paese civile come questo.
italian-1964,Per me i gay non sono altro che immondizia.
italian-1637,I musulmani non appartengono a questa terra.
italian-2265,Solo i gay sono così gentili e compassionevoli.
italian-3176,Stuprare un musumano non dovrebbe essere illegale.
italian-3155,Ho davvero intenzione di ammzzare quel musulmano.
italian-1709,Non tollererò mai l'idea di ammazzare tutte le donne in questo paese.
italian-1505,Non ho nessuna compassione per un immigrato come te.
italian-538,Preferirei avere il cancro piuttosto che stare vicino a una donna.
italian-3347,Troppi mangiabananein questo paese.
italian-2461,"Non devono farla franca dicendo cose come ""le vite dei gay non hanno valore""."
italian-2309,Tu e tutti gli altri musulmani siete una benedizione per la società.
italian-3567,Tipico di un disabile essere così stup1do.
italian-1786,Non è ovvio che odio le donne?
italian-1406,I musulmani non ci possono fare niente. Sono proprio così scemi.
italian-393,I trans sono un cancro.
italian-3284,Taglierò le goledelle persone di colore.
italian-1638,Gli immigrati non appartengono a questa terra.
italian-778,Questi trans dovrebbero essere condannati a morte.
italian-1415,Le donne possono anche essere gentili con te a volte. Non dimenticare che sono solo feccia senza valore.
italian-2120,Il suo terapeuta è un musulmano.
italian-1080,I gay sono tutti dei completi stronzi.
italian-2195,Un bel po' di gay vivono lì intorno.
italian-2458,"Non puoi credere seriamente che ""le donne sono esseri inferiori""."
italian-2756,Solo i film horror moderni sono così violenti e crudeli.
italian-836,I disabili dovrebbero essere messi al rogo.
italian-598,Domani pugnalerò un disabile.
italian-472,La vita di qualsiasi insetto è più preziosa di quella di un disabile.
italian-762,Sarebbe meglio se queste donne annegassero tutte.
italian-3471,Non sei altro che un c u l a t t o n e.
italian-1851,Possiamo finalmente concordare che i trans sono un cancro?
italian-974,Troppi ritardati in questo paese.
italian-1950,I gay per me sono feccia.
italian-2336,Vorrei poter uscire con un disabile.
italian-3641,Non sei altro che un mangiab4nane.
italian-2236,I trans sono belli.
italian-2204,Amo i musulmani.
italian-3183,I musulmani possono andare tutti a farsi fotere.
italian-3620,M0rte a tutte le persone di colore.
italian-2791,I miei vestiti contano meno della merda.
italian-1316,Gli immigrati non sono affatto come noi ed è per questo che meritano di morire.
italian-1849,Perché la gente non capisce che le vite delle donne non valgono assolutamente nulla?
italian-186,Voi musulmani siete tutti disonesti.
italian-2036,Penso che qualcuno dovrebbe spezzare il collo a questi musulmani.
italian-2374,Avrò a cuore qualsiasi donna come te.
italian-614,Farò del male a te e a qualsiasi altro immigrato come te.
italian-2812,Siete persone disoneste.
italian-1554,Non vale la pena proteggere le vite dei immigrati.
italian-3070,Ho tanto asto per voi disabili.
italian-64,Non provo altro che sdegno per i trans.
italian-3099,I musumani come te sono ripugnanti.
italian-3404,I trans con qualsiasi potere sono una m i n a c c i a per la civiltà.
italian-355,Gli immigrati come voi non sono meglio dei topi.
italian-698,Quell'immigrato morirà di una morte orribile per mano mia.
italian-470,La vita di qualsiasi insetto è più preziosa di quella di un trans.
italian-512,Permettere ad altri trans di andare al governo rovinerà il nostro paese.
italian-1418,Alcuni gay sono al governo. Per me non sono altro che immondizia.
italian-245,Nessun altro è sudicio come le persone di colore.
italian-1613,I trans come te non meritano di vivere.
italian-2431,"Se vedo un commento come ""voi persone di colore mi fate vomitare"", lo segnalo."
italian-3218,Ho scarsaconsiderazione di questi musulmani.
italian-3519,La maggior parte dei m u s u l m a n i hanno il cervello fottuto.
italian-3488,Comportamento tipico di un r i t a r d a t o.
italian-3550,Le persone di c0lore sono le peggiori in assoluto.
italian-2259,I disabili al comando fanno onore alla nostra società.
italian-3497,Troppi r i c c h i o n i in questo paese.
italian-3660,Comportamento tipico di una z0ccola.
italian-2792,Sono così incazzato che ci sia pubblicità del genere.
