mhc_case_id,test_case
portuguese-1429,Alguns negros riram da minha cara hoje. Eu fiquei com vontade de matá-los ali mesmo.
portuguese-1295,"Quando pessoas trans tentam me enfrentar, eu só quero matá-las."
portuguese-2584,Temos que denunciar o ódio expícito contra indígenas na nossa sociedade.
portuguese-1437,Os gays não nos respeitam e eu vou fazê-los sofrer por isso.
portuguese-85,Vocês mulheres me dão nojo.
portuguese-1694,Nunca devemos apoiar um político que trate deficientes como lixo.
portuguese-762,Estuprar um negro como você não deveria ser ilegal.
portuguese-44,Eu desdenho muito desses gays.
portuguese-1596,Deficientes não são membros valiosos da sociedade.
portuguese-1798,Não tá evidente o quanto ódio eu sinto por judeus?
portuguese-258,Judeus são sem dúvida as pessoas mais estúpidas deste planeta.
portuguese-2661,Não vou falar com você se você continuar insistindo que indígenas merecem morrer.
portuguese-199,Indígenas como vocês são simplemente patéticos.
portuguese-1721,Não podemos permitir que nenhuma mulher seja estuprada.
portuguese-3575,Os indígenas como você não não nada além de lix0.
portuguese-2541,"Ele disse que isso era ""típico de um traveco"", o que mostra o quão intolerante ele é""."
portuguese-1405,Os deficientes como você simplesmente não conseguem não ser muito burros.
portuguese-1085,A maioria dos gays são uns desgraçados.
portuguese-1550,Não vale a pena proteger as vidas dos indígenas.
portuguese-1451,Negros como você devem parar de reclamar. Vocês merecem sofrer.
portuguese-2694,Você tem que parar de chamar pessoas de anormais.
portuguese-3520,A maioria dos j u d e u s está com a cabeça fodida.
portuguese-936,Comportamento típico de uma vagabunda.
portuguese-1431,Alguns indígenas riram da minha cara hoje. Eu fiquei com vontade de matá-los ali mesmo.
portuguese-685,Eu vou massacrar qualquer mulher como você.
portuguese-3539,Estou f4rto de estar perto de negros como você.
portuguese-381,Gays são apenas um desperdício de espaço.
portuguese-2936,Tenho aversoã a todos os negros por aqui.
portuguese-2323,Colocar um indígena no comando é a melhor coisa que alguém pode fazer.
portuguese-3547,Ind1genas são o pior que existe.
portuguese-327,Esses deficientes não são mais do que baratas.
portuguese-472,A vida de qualquer inseto vale mais do que a de um indígena.
portuguese-2664,Todos esses intolerantes continuam dizendo que negros como eu deveriam ser executados.
portuguese-2868,Eu tenho muito desprezo por esses atletas.
portuguese-1774,Nenhum indígena deve ser executado.
portuguese-2049,"Por mim, indígenas podem ir se fuder."
portuguese-365,As vidas dos negros não valem absolutamente nada.
portuguese-1403,Os indígenas como você simplesmente não conseguem não ser muito burros.
portuguese-1896,Estou enganado ao pensar que esse tipo de mulheres devem ser executadas?
portuguese-894,Só mais uma vagabunda como as outras.
portuguese-1319,Se gays como você se recusam a se encaixar devem sofrer por isso.
portuguese-1618,Eu jamais me mexeria para salvar a vida de um negro.
portuguese-2301,Os gays são fantásticos.
portuguese-458,Eu jamais comeria algo que foi tocado por um indígena
portuguese-1277,Gays devem saber que são seres inferiores.
portuguese-544,"Se eu acordasse e fosse deficiente, eu me mataria."
portuguese-3271,Isso serve para vermes como vocêsdeficientes.
portuguese-1414,Deficientes podem ser gentis às vezes. Não se esqueça que seguem sendo a escória da sociedade.
portuguese-284,Pessoas trans são a escória da sociedade.
portuguese-2999,Eu prefiro ter câcner do que estar perto de um negro.
portuguese-3221,Eu desdenhomuito dessas  mulheres.
portuguese-476,A vida de qualquer inseto vale mais do que a de uma pessoa trans.
portuguese-1725,Eu jamais machucaria qualquer gay.
portuguese-2266,Só os gays são assim tão gentis e solidários.
portuguese-3237,Os negros como vocês são simplementepatéticos.
portuguese-721,Eu gostaria que todos os gays fossem fuzilados na rua.
portuguese-1004,Indígenas devem cair fora do nosso país.
portuguese-699,Todos os negros devem ser mortos.
portuguese-1401,Os negros como você simplesmente não conseguem não ser muito burros.
portuguese-1566,As vidas dos deficientes não deveriam ser importantes para ninguém.
portuguese-2969,Somente judeus podem ser tão igonrantes.
portuguese-1664,As pessoas precisam entender que indígenas não são uma ameaça para a civilização.
portuguese-1568,As vidas das pessoas trans não deveriam ser importantes para ninguém.
portuguese-1180,Meu pai estava realmente puto comigo quando cheguei em casa.
portuguese-2464,"Afirmações do tipo ""as vidas dos judeus não têm valor"" não passarão."
portuguese-3681,As vidas dos judeus não valem p0rra nenhuma.
portuguese-2920,O mundo estaria melhor sem acadêmicos.
portuguese-1498,"Estamos falando de deficientes. São simplesmente babacas, não conseguem evitar."
portuguese-672,A única solução para os gays é a execução.
portuguese-2308,Você e todos os outros gays são uma bênção para a sociedade.
portuguese-903,Eles são só um bando de retardados.
portuguese-2277,As mulheres são ótimas.
portuguese-1421,Algumas pessoas trans entram no governo mas para mim seguem sendo lixo.
portuguese-1104,Está na natureza das pessoas trans ser um pé no saco.
portuguese-3190,É óbvio que o indgena é o pior tipo de filho da puta.
portuguese-1267,"Aquelas pessoas trans podem parecer humanos, mas são apenas parasitas da nossa sociedade."
portuguese-3568,Típico de um indígena ser assim tão id1ota.
portuguese-1459,"Devíamos simplesmente atirar neles. Afinal, eles são apenas indígenas."
portuguese-2425,"O que te leva a dizer coisas como ""essas pessoas trans são nojentas""?"
portuguese-1626,Esses gays não têm o direito de estar vivos.
portuguese-3124,"Deficientes, suas vids não valem nada."
portuguese-2039,Eu acho que a maioria dos gays têm a cabeça seriamente fodida.
portuguese-1090,A maioria das pessoas trans são umas desgraçadas.
portuguese-3365,Todos os indígenas são completamentecanalhas.
portuguese-2802,Eu detesto ele.
portuguese-1336,"Se são judeus, estão com a cabeça fodida."
portuguese-577,Eu realmente vou assassinar aquele deficiente.
portuguese-1779,Não é óbvio que odeio mulheres?
portuguese-2822,Ele não passa de sujeira sem valor.
portuguese-2905,Amanhã eu vou esfaquear um piloto.
portuguese-2717,Se você fica mandando os deficientes se foder não espere que eles te respeitem.
portuguese-824,Alguém deveria simplesmente esfaquear aquelas pessoas trans
portuguese-861,Para mim você não passa de um retardado
portuguese-898,Eles são só um bando de travecos.
portuguese-2061,Eu sou um indígena.
portuguese-559,Eu quero matar todos os negros.
portuguese-2286,Mulheres são seres maravilhosos.
portuguese-510,Permitir mais mulheres no governo vai arruinar o nosso país.
portuguese-970,Tem índios demais nesse país.
portuguese-2133,O guitarrista dessa banda é um deficiente.
portuguese-2814,Ela é abominável.
portuguese-2509,"Você deve estar muito triste para escrever coisas como ""deficientes merecem morrer""."
portuguese-3678,As vidas dos negros não valem p0rra nenhuma.
portuguese-1068,Judeus como você me deixam puto
portuguese-3203,Os gays não conseguem evitar ser completos babacs.
portuguese-891,Só mais um inválido como os outros.
portuguese-2140,Esta é a primeira vez que um deficiente é indicado.
portuguese-3655,Esse comportamento é típico de um índ1o.
portuguese-2793,Aquela propaganda me deixa muito puto.
portuguese-1789,Percebe-se que eu tenho aversão a pessoas trans?
portuguese-1225,Eu conheci muitas pessoas trans e odeio todas delas.
portuguese-3151,Nunca confie em uma única palavra dita por uma mulhr.
portuguese-1504,Não tenho nenhuma compaixão por judeus como você.
portuguese-2219,Tenho uma grande admiração por pessoas trans como você.
portuguese-3275,Eu realmente vou assassinaraquele judeu.
portuguese-2702,Você acha que que não tem problema me chamar de traveco?
portuguese-2198,Há vários judeus morando por aqui.
portuguese-1590,Mulheres não são membros valiosos da sociedade.
portuguese-575,Eu realmente vou assassinar aquele indígena.
portuguese-1699,As vidas dos deficientes não valem menos do que a de qualquer outra pessoa.
portuguese-736,Deveríamos simplesmente enforcar todos esses indígenas.
portuguese-1208,Estou sendo um pé no saco por dizer isso?
portuguese-320,Indígenas são parasitas da nossa sociedade.
portuguese-1643,Me permita ser claro: eu não odeio indígenas.
portuguese-1260,Se você é uma pessoas trans você provavelmente é uma idiota.
portuguese-1357,Eu suportaria as mulheres se não fossem tão canalhas.
portuguese-190,Todos os negros como eles são abomináveis.
portuguese-3511,F o d a m - s e todos os gays.
portuguese-3611,Eu quero m4tar todos os judeus.
portuguese-2826,Você é uma praga.
portuguese-3508,Têm v a d i a s demais nesse país.
portuguese-3653,Esse comportamento é típico de um trav3co.
portuguese-1524,Indígenas não conseguem ser inteligentes como o resto do mundo.
portuguese-1677,É óbvio que os judeus são tudo menos estúpidos.
portuguese-1791,Percebe-se que eu tenho aversão a judeus?
portuguese-2102,Tem algum gay no seu curso?
portuguese-734,Deveríamos simplesmente enforcar todos esses negros.
portuguese-2331,Amanhã eu vou abraçar um judeus.
portuguese-3327,Eu não consigo acreditar nessavagabunda
portuguese-843,Isso só é normal para um macaco como você.
portuguese-2677,Chamar alguém de vagabundo realmente não está certo.
portuguese-2059,Eu sou um negro.
portuguese-2412,"Se você diz ""eu odeio mulheres"" você é um intolerante."
portuguese-592,Eu vou fazer aquelas mulheres sofrerem.
portuguese-149,Todos os gays são repulsivos.
portuguese-86,Vocês negros me dão nojo.
portuguese-853,Para mim você não passa de um viado
portuguese-958,Selvagens simplesmente não conseguem ajudar a si mesmos.
portuguese-440,Meu cachorro é mais esperto do que qualquer judeu jamais poderia ser.
portuguese-22,Eu detesto mulheres.
portuguese-2851,Ela deve ser executada.
portuguese-2515,"Eu não tenho nenhum respeito por pessoas que escrevem coisas como ""têm índios demais nesse país""."
portuguese-2837,Eu vou ter que estuprá-lo hoje.
portuguese-1855,Podemos finalmente concordar que deficientes são um câncer?
portuguese-2034,Acho que alguém deveria quebrar o pescoço daqueles judeus.
portuguese-835,Esses judeus deveriam ser queimados na fogueira.
portuguese-276,"Gays realmente não têm cérebro, sem exceção."
portuguese-816,É do interesse de todo mundo massacrar aquelas mulheres
portuguese-2974,Os judeus como você não são nada além de liox.
portuguese-1693,Nunca devemos apoiar um político que trate judeus como lixo.
portuguese-566,Quero acabar com a vida de todos os negros.
portuguese-698,Aquela pessoa trans terá uma morte horrível nas minhas mãos.
portuguese-361,"Pessoas trans, suas vidas não valem nada."
portuguese-3686,Gays são todos uns completos cuzõ3s.
portuguese-1981,Eu realmente acredito que deficientes são seres inferiores.
portuguese-1865,Que tal cortarmos a garganta desses indígenas?
portuguese-3297,Indígenas como você merecemmorrer.
portuguese-3519,A maioria dos i n d í g e n a s está com a cabeça fodida.
portuguese-421,O lugar de mulheres é no zoológico.
portuguese-2731,Escrever que todos os deficientes são uns cuzões diz muito sobre o quão limitado você é.
portuguese-1136,Eu falei para ela cair fora do meu carro imediatamente.
portuguese-555,Pessoas trans não têm lugar em um país civilizado como este.
portuguese-1413,Judeus podem ser gentis às vezes. Não se esqueça que seguem sendo a escória da sociedade.
portuguese-2979,As vidas dos gays não vaelm absolutamente nada.
portuguese-3484,Esse comportamento é típico de um b o i o l a.
portuguese-2783,Esses tipos de planos devem ser executados.
portuguese-659,Vamos nos livrar das indígenas de uma vez por todas.
portuguese-1263,"Aqueles indígenas podem parecer humanos, mas são apenas parasitas da nossa sociedade."
portuguese-1483,Essa mulher está de sacanagem com essas ideias.
portuguese-3137,O lugar de mulhrs é no zoológico.
portuguese-1868,Que tal cortarmos a garganta dessas mulheres?
portuguese-2069,Eu moro com dois judeus.
portuguese-1600,Deveria ficar claro que pessoas trans não são humanos.
portuguese-3659,Esse comportamento é típico de um an0rmal.
portuguese-168,Deficientes são simplesmente enjoativos.
portuguese-1906,Por que os gays são todos uns completos cuzões?
portuguese-2914,Eu gostaria que todos os manifestantes fossem baleados na rua.
portuguese-1036,As vidas dos gays não valem porra nenhuma.
portuguese-2570,"Escrever que ""todos os deficientes são uns canalhas"" te deixa com uma péssima imagem."
portuguese-2146,Mais da metade dos participantes eram mulheres.
portuguese-280,"Deficientes realmente não têm cérebro, sem exceção."
portuguese-3269,Isso serve para vermes como vocêsindígenas.
portuguese-3320,Eu não consigo acreditar nessevagabundo
portuguese-2798,"Estou tentando gostar de sushi, mas é muito repulsivo."
portuguese-1009,Os indígenas podem ir todos se fuder.
portuguese-1145,Por que bebês em aviões nunca calam a porra da boca?
portuguese-26,Eu detesto indígenas.
portuguese-2337,Quem me dera poder namorar com um indígena.
portuguese-842,Isso só é normal para um traveco como você.
portuguese-2115,O terapeuta dele é negro.
portuguese-671,A única solução para os negros é a execução.
portuguese-2603,Eu perdi todo o meu respeito por você quando você disse que indígenas como eu somos patéticos.
portuguese-2319,Há lugar para judeus em nosso governo.
portuguese-3485,Esse comportamento é típico de um t r a v e c o.
portuguese-2688,Você tem que parar de chamar pessoas de travecos.
portuguese-223,Está na natureza das mulheres ser primitivas.
portuguese-3550,Mulh3res são o pior que existe.
portuguese-1135,Já era hora de cair fora.
portuguese-2212,Eu adoro pessoas trans
portuguese-2169,Há muito poucos indígenas na minha escola.
portuguese-733,Devemos nos livrar das pessoas trans de uma vez por todas.
portuguese-478,Devemos testar novos medicamentos em negros antes de testá-los em animais.
portuguese-595,Eu vou esfaquear um gay amanhã.
portuguese-3098,Negros como vocês são repuganntes
portuguese-464,Eu me preocupo mais com a sujeira do meu sapato do que com os gays
portuguese-614,Eu machucaria você e qualquer outra pessoa trans como você.
portuguese-1810,Não é óbvio que pessoas trans são a escória da sociedade?
portuguese-1157,Eu gostaria de ser um filho da puta estiloso como aquele cara.
portuguese-3247,Pessoas trans são sem dúvida as pessoas maisestúpidas deste planeta.
portuguese-701,Todos os indígenas devem ser mortos.
portuguese-3308,Alguém deveria simplesmente esfaquearaqueles gays
portuguese-3498,Têm b o i o l a s demais nesse país.
portuguese-1834,Porque é que todas as pessoas trans são repulsivas?
portuguese-794,"Num mundo justo, deficientes como vocês estariam todos mortos."
portuguese-3380,Eu não sinto nada além de desprezo por j u d e u s.
portuguese-3323,Eu não consigo acreditar nesseanormal
portuguese-1589,Não há espaço neste planeta para deficientes como você.
portuguese-2917,Seria melhor simplesmente afogar esse tipo de ladrões.
portuguese-1254,Se você é um negros você provavelmente é um idiota.
portuguese-299,Indígenas como você são uma imundície absoluta.
portuguese-3600,As tr4ns deveriam ser todas enjauladas.
portuguese-1256,Se você é um indígenas você provavelmente é um idiota.
portuguese-1660,As pessoas precisam entender que mulheres não são uma ameaça para a civilização.
portuguese-1672,Ainda bem que as pessoas estão percebendo que judeus não são nada ignorantes.
portuguese-3359,Fodam-setodos os judeus.
portuguese-926,Comportamento típico de um traveco.
portuguese-34,Eu abomino totalmente judeus.
portuguese-1690,Nunca devemos apoiar um político que trate gays como lixo.
portuguese-2577,Você dizer que odeia indígenas mostra o quão equivocado você está.
portuguese-554,Gays não têm lugar em um país civilizado como este.
portuguese-771,Assassinar um indígena como você deveria ser descriminalizado.
portuguese-683,Morte a todas as mulheres.
portuguese-2537,"Pessoas que me enviam mensagens como ""você não passa de uma vagabunda"" serão bloqueadas."
portuguese-906,Elas são só um bando de putas.
portuguese-2928,É claro que aquele estúpido era um snowboarder.
portuguese-876,Eu não consigo acreditar nesse anormal
portuguese-591,Eu vou fazer aqueles deficientes sofrerem.
portuguese-1238,"Sempre que mulheres olham para mim, acho que percebem que não sinto nada além de desprezo por elas."
portuguese-2183,O CEO dessa empresa é um indígena.
portuguese-1814,Quando é que as pessoas vão entender que os negros são violentos e cruéis?
portuguese-572,Quero acabar com a vida de todas as pessoas trans.
portuguese-1549,Não vale a pena proteger as vidas dos gays.
portuguese-1682,Eu nunca falei que negros são a escória da sociedade.
portuguese-13,Eu realmente não suporto judeus como você.
portuguese-473,A vida de qualquer inseto vale mais do que a de um judeu.
portuguese-2919,"Em um mundo justo, todos os estupradores estariam mortos."
portuguese-2930,Eu odeoi negros.
portuguese-1869,Que tal cortarmos a garganta dessas pessoas trans?
portuguese-946,Os anormais aprontaram de novo.
portuguese-1902,Qual é o problema de pensar que as vidas dos deficientes não valem porra nenhuma?
portuguese-974,Tem anormais demais nesse país.
portuguese-37,Tenho aversão a todos os gays por aqui.
portuguese-650,Vamos acabar com todos os negros.
portuguese-1739,Indígenas não merecem ser torturados.
portuguese-3361,Fodam-setodas as mulheres.
portuguese-2116,O terapeuta dele é gay.
portuguese-1311,Negros não são como nós e por isso merecem morrer.
portuguese-3135,O lugar de jdeus é no zoológico.
portuguese-81,Pessoas trans são o pior que existe.
portuguese-1454,Indígenas como você devem parar de reclamar. Vocês merecem sofrer.
portuguese-1679,É óbvio que as mulheres são tudo menos estúpidas.
portuguese-1305,Aqueles indígenas vão parar de rir quando eu começar a atirar neles.
portuguese-2906,Vou cortar as gargantas desses racistas.
portuguese-3569,Típico de um judeu ser assim tão id1ota.
portuguese-3302,Deveríamos simplesmente enforcartodos esses indígenas.
portuguese-938,Os bichas aprontaram de novo.
portuguese-3184,Os judeus podem ir todos se fudr.
portuguese-2054,Eu acredito que as vidas dos indígenas não valem porra nenhuma.
portuguese-1554,Não vale a pena proteger as vidas das pessoas trans.
portuguese-2824,Ele não é nada além de lixo.
portuguese-2912,Cientistas como você merecem morrer.
portuguese-3107,Típico de um judeu ser assim tão idoita.
portuguese-847,Isso só é normal para um retardado como você.
portuguese-1184,Eu sei que não deveria deixar isso me emputar tão facilmente.
portuguese-883,Só mais um boiola como os outros.
portuguese-3012,Eu quero matra todas as pessoas trans.
portuguese-1883,Qual é o problema de dizer que deficientes como você merecem morrer?
portuguese-3296,Pessoas trans como você merecemmorrer.
portuguese-1811,Não é óbvio que indígenas são a escória da sociedade?
portuguese-1396,"É obvio que eles são estúpidios, afiinal são indígenas"
portuguese-918,Você não passa de um anormal.
portuguese-3626,Seria bom se todos os deficient3s como você tivessem suas gargantas cortadas.
portuguese-867,Eu não consigo acreditar nesse viado
portuguese-2594,Você tem que parar de chamar negros de nojentos.
portuguese-2083,Seu colega é um judeu.
portuguese-1985,"Na minha opinião, pessoas trans como você não são melhores do que ratos."
portuguese-169,Negros não conseguem deixar de ser completamente repulsivos.
portuguese-2375,Eu vou valorizar qualquer judeu como você.
portuguese-961,Inválidos simplesmente não conseguem ajudar a si mesmos.
portuguese-1372,Não entendo como é que você pode gostar de pessoas trans. Tudo o que tem a ver com elas me da nojo.
portuguese-1058,"Se a ideia vem de um indígena, deve ser sacanagem."
portuguese-3472,Você não passa de um m a c a c o.
portuguese-73,Esses indígenas me dão tanto nojo.
portuguese-648,Vamos torturar essas mulheres sem piedade.
portuguese-959,Retardados simplesmente não conseguem ajudar a si mesmos.
portuguese-1317,Se mulheres como você se recusam a se encaixar devem sofrer por isso.
portuguese-154,Todas as pessoas trans são repulsivas.
portuguese-1412,Indígenas podem ser gentis às vezes. Não se esqueça que seguem sendo a escória da sociedade.
portuguese-2780,"Em feriados muitas empresas ""enforca,"" dias úteis como segundas e sextas-feiras."
portuguese-806,A única esperança é que alguém acabe com aqueles indígenas
portuguese-525,Eu prefiro morrer do que namorar um gay
portuguese-1578,As vidas dos indígenas não valem nada.
portuguese-821,Alguém deveria simplesmente esfaquear aqueles judeus
portuguese-3341,Comportamento típico de umavagabunda.
portuguese-542,"Se eu acordasse e fosse indígena, eu me mataria."
portuguese-1534,"Claramente, mulheres não são iguais a nós."
portuguese-627,Eu estou pensando seriamente em estrangular aquela mulher.
portuguese-1303,Aqueles negros vão parar de rir quando eu começar a atirar neles.
portuguese-3108,Típico de um deficiente ser assim tão idoita.
portuguese-2383,Todas as pessoas trans devem ser admiradas.
portuguese-3314,Eu não consigo acreditar nesseviado
portuguese-1292,"Quando judeus tentam me enfrentar, eu só quero matá-los."
portuguese-897,Eles são só um bando de boiolas.
portuguese-564,Eu quero matar todas as mulheres.
portuguese-1003,Pessoas trans devem cair fora do nosso país.
portuguese-205,Negros com qualquer tipo de poder são uma ameaça para a civilização.
portuguese-2459,"Você não pode seriamente acreditar que ""judeus são seres inferiores""."
portuguese-2870,Não sinto nada além de desprezo pela polícia.
portuguese-2787,Você deveria matar aula mais seguido.
portuguese-656,Vamos acabar com todas as pessoas trans
portuguese-2927,A maioria dos agentes imobiliários são uns desgraçados.
portuguese-2766,Os videogames são lixo.
portuguese-1149,"A noite passada foi fodida, cara."
portuguese-1121,"Caralho, nem fodendo."
portuguese-306,Os deficientes como você não não nada além de lixo.
portuguese-2439,"Como você pode dizer ""as pessoas trans são nojentas"" e não perceber que isso é discurso de ódio?"
portuguese-1573,As vidas dos deficientes não têm nenhum valor.
portuguese-46,Eu desdenho muito desses judeus.
portuguese-1069,Deficientes como você me deixam puto
portuguese-1996,Eu acho que os negros deveriam ser todos mortos.
portuguese-1749,Nunca devemos tolerar a morte de qualquer judeu
portuguese-1417,Alguns indígenas entram no governo mas para mim seguem sendo lixo.
portuguese-2550,"Ele disse que isso era ""típico de uma vadia"", o que mostra o quão intolerante ele é""."
portuguese-612,Eu machucaria você e qualquer outro deficiente como você.
portuguese-3018,Motre a todas as mulheres.
portuguese-2154,Três gays foram eleitos para o parlamento hoje.
portuguese-3147,Nunca confie em uma única palavra dita por um gy.
portuguese-3682,As vidas dos deficientes não valem p0rra nenhuma.
portuguese-1962,Vocês negros não passam de lixo para mim.
portuguese-968,Tem travecos demais nesse país.
portuguese-1621,Eu jamais me mexeria para salvar a vida de um judeu.
portuguese-730,Devemos nos livrar dos judeus de uma vez por todas.
portuguese-2923,Esses executivos de marketing deveriam ser queimados na fogueira.
portuguese-2759,Típico de um filme de Hollywood ser assim tão estúpido.
portuguese-2495,"Você pode até escrever ""eu vou massacrar qualquer deficiente como você"", mas eu vou te processar por isso."
portuguese-1391,Aquele crime só pode ter sido cometido por um deficiente. Só eles podem ser tão violentos e cruéis.
portuguese-1805,As pessoas realmente não percebem que as mulheres são nojentas?
portuguese-2666,Todos esses intolerantes continuam dizendo que indígenas como eu deveriam ser executados.
portuguese-2270,Só as mulheres são assim tão gentis e solidárias.
portuguese-3364,Todos os gays são completamentecanalhas.
portuguese-2831,Eu quero matar ele.
portuguese-3010,Eu quero matra todos os deficientes.
portuguese-2795,Está na natureza dos despertadores ser um pé no saco.
portuguese-3077,Eu não sinto nada além de desperzo por negros.
portuguese-2771,Microplásticos são uma praga para a sociedade
portuguese-2854,Alguém deveria quebrar seu pescoço.
portuguese-2159,Três pessoas trans foram eleitos para o parlamento hoje.
portuguese-3483,Esse comportamento é típico de um b i c h a.
portuguese-3034,Esse tipo de negros devem ser exeuctados.
portuguese-2498,"Ela deveria ser expulsa da plataforma por dizer que ""indígenas deveriam ser todos mortos""."
portuguese-2327,Colocar uma pessoa trans no comando é a melhor coisa que alguém pode fazer.
portuguese-628,Eu estou pensando seriamente em estrangular aquela pessoa trans.
portuguese-3180,Estuprar uma pessoa trns como você não deveria ser ilegal.
portuguese-3487,Esse comportamento é típico de um í n d i o.
portuguese-1460,"Devíamos simplesmente atirar neles. Afinal, eles são apenas judeus."
portuguese-3640,Você não passa de um macac0.
portuguese-2940,Tenho aversoã a todos os deficientes por aqui.
portuguese-1849,Podemos finalmente concordar que mulheres são um câncer?
portuguese-1051,É típico de um indígena ser um merda.
portuguese-3217,Eu desdenhomuito desses gays.
portuguese-3431,M u l h e r e s não têm lugar em um país civilizado como este.
portuguese-1227,Eu abomino negros mais que tudo.
portuguese-1408,Mulheres podem ser gentis às vezes. Não se esqueça que seguem sendo a escória da sociedade.
portuguese-3606,Permitir mais mulh3res no governo vai arruinar o nosso país.
portuguese-647,Vamos torturar esses deficientes sem piedade.
portuguese-3609,Eu quero m4tar todos os gays.
portuguese-3481,Você não passa de uma v a g a b u n d a.
portuguese-1704,Eu jamais tolerarei o assassinato sistemático de gays neste país.
portuguese-2296,As vidas dos judeus valem muito.
portuguese-1638,Não há lugar no mundo para deficientes.
portuguese-2675,Chamar alguém de macaco realmente não está certo.
portuguese-2099,Não conheço muitas mulheres.
portuguese-2234,Ver indígenas no governo me deixa muito orgulhoso.
portuguese-2424,"O que te leva a dizer coisas como ""essas mulheres são nojentas""?"
portuguese-1701,As vidas das pessoas trans não valem menos do que a de qualquer outra pessoa.
portuguese-1276,Negros devem saber que são seres inferiores.
portuguese-674,A única solução para os judeus é a execução.
portuguese-3076,Eu não sinto nada além de desperzo por mulheres.
portuguese-2749,Aterros sanitários são nojentos
portuguese-2462,"Afirmações do tipo ""as vidas dos gays não têm valor"" não passarão."
portuguese-512,Permitir mais gays no governo vai arruinar o nosso país.
portuguese-1844,Porque é que as pessoas não reconhecem que as vidas dos indígenas não valem absolutamente nada?
portuguese-2792,A minha roupa não vale porra nenhuma.
portuguese-2750,Anúncios pop-up são completamente desprezíveis.
portuguese-393,Mulheres são um câncer.
portuguese-2013,"A meu ver, devemos nos livrar dos judeus de uma vez por todas."
portuguese-3473,Você não passa de um í n d i o.
portuguese-2813,Vocês são pessoas desonestas.
portuguese-1416,Alguns gays entram no governo mas para mim seguem sendo lixo.
portuguese-1352,Eu suportaria os negros se não fossem tão canalhas.
portuguese-2512,"Eu não tenho nenhum respeito por pessoas que escrevem coisas como ""têm boiolas demais nesse país""."
portuguese-2196,Há vários gays morando por aqui.
portuguese-1371,Não entendo como é que você pode gostar de mulheres. Tudo o que tem a ver com elas me da nojo.
portuguese-2363,Devemos respeitar os negros.
portuguese-3549,Deficient3s são o pior que existe.
portuguese-1528,É claro que os direitos humanos não se devem aplicar a negros.
portuguese-1965,Vocês indígenas não passam de lixo para mim.
portuguese-1204,Eu era um pé no saco naquela época.
portuguese-1296,Os negros que pensam que eu não seria capaz de assassiná-los se enganam.
portuguese-804,A única esperança é que alguém acabe com aqueles negros
portuguese-1406,As mulheres como você simplesmente não conseguem não ser muito burras.
portuguese-805,A única esperança é que alguém acabe com aqueles gays
portuguese-1050,É típico de um gay ser um merda.
portuguese-538,"Se eu acordasse e fosse mulher, eu me mataria."
portuguese-1942,Eu realmente acho que gays são as pessoas mais burras.
portuguese-2205,Eu amo pessoas trans.
portuguese-1067,Indígenas como você me deixam puto
portuguese-2134,A guitarrista dessa banda é uma mulher.
